time_seconds,active_workers,occupied_cells,entropy_bits,entropy_normalized,max_concentration,congested_cells,workers_in_shared_cells,excess_workers,method,timestamp
280.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:46:40
285.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:46:45
290.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:46:50
295.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:46:55
300.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:00
305.0,5,4,1.9219280948873623,0.8277293767706428,0.4,1,2,1,random,2023-01-05 07:47:05
310.0,5,4,1.9219280948873623,0.8277293767706428,0.4,1,2,1,random,2023-01-05 07:47:10
315.0,5,4,1.9219280948873623,0.8277293767706428,0.4,1,2,1,random,2023-01-05 07:47:15
320.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:20
325.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:25
330.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:30
335.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:35
340.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:40
345.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:45
350.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:50
355.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:47:55
360.0,5,5,2.3219280948873626,1.0,0.2,0,0,0,random,2023-01-05 07:48:00
365.0,4,4,2.0,1.0,0.25,0,0,0,random,2023-01-05 07:48:05
370.0,4,4,2.0,1.0,0.25,0,0,0,random,2023-01-05 07:48:10
375.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:15
380.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:20
385.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:25
390.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:30
395.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:35
400.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:40
405.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:45
410.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:50
415.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:48:55
420.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:00
425.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:05
430.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:10
435.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:15
440.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:20
445.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:25
450.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:30
455.0,3,3,1.584962500721156,1.0,0.3333333333333333,0,0,0,random,2023-01-05 07:49:35
