method,seed,selected_date,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
baseline,,2023-01-05,8,4,4,,,85,1996,1996.0,8053.1208000001,11512,6710.933999999715,174,149,25,244.72566666693373,1.4064693486605386,3.967966666671898,10.160000000003492,0.03518367464695312,521.2209215686258,1599.6126666666842,673.4992705882336,16113.709000000023,616,0.8975561669936818,0.9926294414149156,0.0,1.0,0.32301329622758196,0.014252696456086287,618,74.10383333332874,4,16113.709000000023
random,42.0,2023-01-05,8,4,4,0.9056390622295665,0.24774549098196394,85,1996,1996.0,8053.12080000007,11512,6710.933999999764,207,180,27,292.287833333507,1.4120185185193577,3.0,17.780000000006112,0.04173619518123831,516.206874509804,1973.6663333333663,669.044778431372,15799.08299999998,731,0.7358151832465786,0.9924001825705699,0.0,1.0,0.4775975506481662,0.017651573292402148,619,79.88083333335315,7,15799.08299999998
equal,42.0,2023-01-05,8,4,4,1.0,0.16382765531062127,85,1996,1996.0,8053.120800000045,11512,6710.933999999686,241,188,53,397.3390000000659,1.648709543568738,3.4770000000025902,17.780000000006112,0.055898106333293576,416.2820117646983,1367.2319999999545,570.3558117646954,15904.789666666607,549,0.9694969762894844,0.9856552592276424,0.0,1.0,0.30388368462138954,0.03157093952073031,622,157.77950000000254,7,15904.789666666607
volume_proportional,42.0,2023-01-05,8,4,4,0.9528195311147832,0.04108216432865733,85,1996,1996.0,8053.120799999936,11512,6710.933999999673,313,239,74,512.7500000002256,1.6381789137387397,3.8156666666705794,17.780000000006112,0.07098178713247047,351.94017254901854,938.6789999999874,507.37174901960555,15476.23666666664,455,0.9327194621256241,0.9823781371924976,0.0,1.0,0.2682260596546311,0.03773584905660377,622,214.6558333332944,7,15476.23666666664
