method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
equal,edge,AISLE:x=3.680000:y=6.310000<->AISLE:x=4.030000:y=6.310000,1,1,0.24166666666683057,0.24166666666683057,0.24166666666683057
equal,edge,AISLE:x=3.680000:y=9.310000<->AISLE:x=4.030000:y=9.310000,1,1,0.1083333333332348,0.1083333333332348,0.1083333333332348
equal,edge,AISLE:x=4.340000:y=11.110000<->AISLE:x=4.500000:y=11.110000,1,1,0.11666666666665293,0.11666666666665293,0.11666666666665293
equal,edge,AISLE:x=4.340000:y=11.110000<->SUP:CC-13,1,1,0.05833333333328028,0.05833333333328028,0.05833333333328028
equal,edge,AISLE:x=4.340000:y=12.010000<->SUP:CC-14,1,1,0.08333333333315807,0.08333333333315807,0.08333333333315807
equal,edge,AISLE:x=4.500000:y=7.510000<->AISLE:x=4.660000:y=7.510000,1,1,0.049999999999272404,0.049999999999272404,0.049999999999272404
equal,edge,AISLE:x=4.660000:y=11.110000<->AISLE:x=4.840000:y=11.110000,1,1,0.06666666666205856,0.06666666666205856,0.06666666666205856
equal,edge,AISLE:x=5.000000:y=11.110000<->AISLE:x=5.160000:y=11.110000,2,1,0.11666666665576031,0.058333333327880155,0.08333333333382598
equal,edge,AISLE:x=5.660000:y=8.410000<->AISLE:x=5.840000:y=8.410000,1,1,0.08333333333030168,0.08333333333030168,0.08333333333030168
equal,edge,AISLE:x=5.840000:y=11.110000<->AISLE:x=6.000000:y=11.110000,2,2,0.13333333333321207,0.06666666666660603,0.06666666666933452
equal,edge,SUP:CC-01<->SUP:CC-02,17,7,33.25000000000023,1.95588235294119,4.5
equal,edge,SUP:CC-02<->SUP:CC-03,4,3,1.4833333333231167,0.37083333333077917,0.6666666666569654
equal,edge,SUP:CC-03<->SUP:CC-04,1,1,0.5333333333437622,0.5333333333437622,0.5333333333437622
equal,edge,SUP:CC-04<->SUP:CC-05,7,3,2.4166666666851597,0.3452380952407371,0.7333333333372138
