cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,method
EDGE:AISLE:x=1.180000:y=7.510000<->AISLE:x=1.360000:y=7.510000,edge,12,4,1.799999999996004,1.799999999996004,0.0,0.0,1.799999999996004,0.0,1,baseline
EDGE:AISLE:x=1.180000:y=8.410000<->AISLE:x=1.360000:y=8.410000,edge,21,8,3.149999999996652,3.149999999996652,0.0,0.0,3.149999999996652,0.0,1,baseline
EDGE:AISLE:x=1.180000:y=9.310000<->AISLE:x=1.360000:y=9.310000,edge,32,8,4.799999999994441,4.799999999994441,0.0,0.0,4.799999999994441,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=10.210000<->AISLE:x=1.520000:y=10.210000,edge,20,6,2.666666666665492,2.666666666665492,0.0,0.0,2.666666666665492,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=11.110000<->AISLE:x=1.520000:y=11.110000,edge,23,7,3.0666666666656255,3.0666666666656255,0.0,0.0,3.0666666666656255,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=12.010000<->AISLE:x=1.520000:y=12.010000,edge,20,8,2.666666666665961,2.666666666665961,0.0,0.0,2.666666666665961,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=12.910000<->AISLE:x=1.520000:y=12.910000,edge,23,6,3.066666666665867,3.066666666665867,0.0,0.0,3.066666666665867,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=13.810000<->AISLE:x=1.520000:y=13.810000,edge,11,5,1.4666666666662564,1.4666666666662564,0.0,0.0,1.4666666666662564,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=6.310000<->AISLE:x=1.520000:y=6.310000,edge,6,3,0.7999999999997414,0.7999999999997414,0.0,0.0,0.7999999999997414,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=7.510000<->AISLE:x=1.520000:y=7.510000,edge,12,4,1.5999999999986585,1.5999999999986585,0.0,0.0,1.5999999999986585,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=8.410000<->AISLE:x=1.520000:y=8.410000,edge,23,8,3.0666666666654834,3.0666666666654834,0.0,0.0,3.0666666666654834,0.0,1,baseline
EDGE:AISLE:x=1.360000:y=9.310000<->AISLE:x=1.520000:y=9.310000,edge,28,8,3.733333333331487,3.733333333331487,0.0,0.0,3.733333333331487,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=10.210000<->AISLE:x=1.680000:y=10.210000,edge,24,6,3.199999999998795,3.199999999998795,0.0,0.0,3.199999999998795,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=11.110000<->AISLE:x=1.680000:y=11.110000,edge,21,7,2.799999999998967,2.799999999998967,0.0,0.0,2.799999999998967,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=12.010000<->AISLE:x=1.680000:y=12.010000,edge,22,8,2.9333333333326124,2.9333333333326124,0.0,0.0,2.9333333333326124,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=12.910000<->AISLE:x=1.680000:y=12.910000,edge,25,6,3.333333333332533,3.333333333332533,0.0,0.0,3.333333333332533,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=13.810000<->AISLE:x=1.680000:y=13.810000,edge,13,5,1.7333333333326806,1.7333333333326806,0.0,0.0,1.7333333333326806,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=6.310000<->AISLE:x=1.680000:y=6.310000,edge,14,4,1.86666666666612,1.86666666666612,0.0,0.0,1.86666666666612,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=7.510000<->AISLE:x=1.680000:y=7.510000,edge,12,4,1.5999999999986585,1.5999999999986585,0.0,0.0,1.5999999999986585,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=8.410000<->AISLE:x=1.680000:y=8.410000,edge,21,7,2.799999999998832,2.799999999998832,0.0,0.0,2.799999999998832,0.0,1,baseline
EDGE:AISLE:x=1.520000:y=9.310000<->AISLE:x=1.680000:y=9.310000,edge,24,8,3.1999999999986386,3.1999999999986386,0.0,0.0,3.1999999999986386,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=10.210000<->AISLE:x=1.860000:y=10.210000,edge,26,6,3.8999999999957424,3.8999999999957424,0.0,0.0,3.8999999999957424,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=11.110000<->AISLE:x=1.860000:y=11.110000,edge,23,7,3.4499999999962583,3.4499999999962583,0.0,0.0,3.4499999999962583,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=12.010000<->AISLE:x=1.860000:y=12.010000,edge,24,8,3.5999999999979764,3.5999999999979764,0.0,0.0,3.5999999999979764,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=12.910000<->AISLE:x=1.860000:y=12.910000,edge,25,6,3.749999999997627,3.749999999997627,0.0,0.0,3.749999999997627,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=13.810000<->AISLE:x=1.860000:y=13.810000,edge,15,6,2.249999999997385,2.249999999997385,0.0,0.0,2.249999999997385,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=6.310000<->AISLE:x=1.860000:y=6.310000,edge,16,4,2.3999999999983572,2.3999999999983572,0.0,0.0,2.3999999999983572,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=7.510000<->AISLE:x=1.860000:y=7.510000,edge,12,4,1.799999999996004,1.799999999996004,0.0,0.0,1.799999999996004,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=8.410000<->AISLE:x=1.860000:y=8.410000,edge,25,7,3.7499999999966036,3.7499999999966036,0.0,0.0,3.7499999999966036,0.0,1,baseline
EDGE:AISLE:x=1.680000:y=9.310000<->AISLE:x=1.860000:y=9.310000,edge,24,8,3.599999999995873,3.599999999995873,0.0,0.0,3.599999999995873,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=10.210000<->AISLE:x=2.020000:y=10.210000,edge,24,6,3.1999999999985675,3.1999999999985675,0.0,0.0,3.1999999999985675,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=11.110000<->AISLE:x=2.020000:y=11.110000,edge,27,7,3.599999999998495,3.599999999998495,0.0,0.0,3.599999999998495,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=12.010000<->AISLE:x=2.020000:y=12.010000,edge,20,8,2.6666666666659893,2.6666666666659893,0.0,0.0,2.6666666666659893,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=12.910000<->AISLE:x=2.020000:y=12.910000,edge,23,6,3.0666666666658813,3.0666666666658813,0.0,0.0,3.0666666666658813,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=13.810000<->AISLE:x=2.020000:y=13.810000,edge,17,6,2.266666666665529,2.266666666665529,0.0,0.0,2.266666666665529,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=6.310000<->AISLE:x=2.020000:y=6.310000,edge,20,4,2.666666666666103,2.666666666666103,0.0,0.0,2.666666666666103,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=7.510000<->AISLE:x=2.020000:y=7.510000,edge,14,5,1.8666666666650826,1.8666666666650826,0.0,0.0,1.8666666666650826,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=8.410000<->AISLE:x=2.020000:y=8.410000,edge,27,7,3.599999999999028,3.599999999999028,0.0,0.0,3.599999999999028,0.0,1,baseline
EDGE:AISLE:x=1.860000:y=9.310000<->AISLE:x=2.020000:y=9.310000,edge,28,7,3.7333333333317142,3.7333333333317142,0.0,0.0,3.7333333333317142,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=10.210000<->AISLE:x=2.180000:y=10.210000,edge,24,6,3.1999999999985675,3.1999999999985675,0.0,0.0,3.1999999999985675,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=11.110000<->AISLE:x=2.180000:y=11.110000,edge,31,7,4.133333333331343,4.133333333331343,0.0,0.0,4.133333333331343,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=12.010000<->AISLE:x=2.180000:y=12.010000,edge,20,8,2.6666666666659893,2.6666666666659893,0.0,0.0,2.6666666666659893,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=12.910000<->AISLE:x=2.180000:y=12.910000,edge,25,6,3.333333333332533,3.333333333332533,0.0,0.0,3.333333333332533,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=13.810000<->AISLE:x=2.180000:y=13.810000,edge,17,5,2.266666666665529,2.266666666665529,0.0,0.0,2.266666666665529,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=6.310000<->AISLE:x=2.180000:y=6.310000,edge,20,4,2.666666666666096,2.666666666666096,0.0,0.0,2.666666666666096,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=7.510000<->AISLE:x=2.180000:y=7.510000,edge,14,5,1.86666666666531,1.86666666666531,0.0,0.0,1.86666666666531,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=8.410000<->AISLE:x=2.180000:y=8.410000,edge,29,7,3.8666666666656795,3.8666666666656795,0.0,0.0,3.8666666666656795,0.0,1,baseline
EDGE:AISLE:x=2.020000:y=9.310000<->AISLE:x=2.180000:y=9.310000,edge,34,7,4.533333333330987,4.533333333330987,0.0,0.0,4.533333333330987,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=10.210000<->AISLE:x=2.360000:y=10.210000,edge,32,6,4.799999999994242,4.799999999994242,0.0,0.0,4.799999999994242,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=11.110000<->AISLE:x=2.360000:y=11.110000,edge,29,7,4.3499999999940755,4.3499999999940755,0.0,0.0,4.3499999999940755,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=12.010000<->AISLE:x=2.360000:y=12.010000,edge,18,8,2.699999999998738,2.699999999998738,0.0,0.0,2.699999999998738,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=12.910000<->AISLE:x=2.360000:y=12.910000,edge,25,6,3.749999999997627,3.749999999997627,0.0,0.0,3.749999999997627,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=13.810000<->AISLE:x=2.360000:y=13.810000,edge,17,5,2.5499999999966008,2.5499999999966008,0.0,0.0,2.5499999999966008,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=6.310000<->AISLE:x=2.360000:y=6.310000,edge,20,4,2.999999999998316,2.999999999998316,0.0,0.0,2.999999999998316,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=7.510000<->AISLE:x=2.360000:y=7.510000,edge,18,5,2.699999999995242,2.699999999995242,0.0,0.0,2.699999999995242,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=8.410000<->AISLE:x=2.360000:y=8.410000,edge,29,6,4.349999999997252,4.349999999997252,0.0,0.0,4.349999999997252,0.0,1,baseline
EDGE:AISLE:x=2.180000:y=9.310000<->AISLE:x=2.360000:y=9.310000,edge,38,7,5.699999999990723,5.699999999990723,0.0,0.0,5.699999999990723,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=10.210000<->AISLE:x=2.520000:y=10.210000,edge,34,6,4.533333333331143,4.533333333331143,0.0,0.0,4.533333333331143,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=11.110000<->AISLE:x=2.520000:y=11.110000,edge,31,7,4.133333333330867,4.133333333330867,0.0,0.0,4.133333333330867,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=12.010000<->AISLE:x=2.520000:y=12.010000,edge,18,8,2.399999999999565,2.399999999999565,0.0,0.0,2.399999999999565,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=12.910000<->AISLE:x=2.520000:y=12.910000,edge,27,6,3.5999999999991843,3.5999999999991843,0.0,0.0,3.5999999999991843,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=13.810000<->AISLE:x=2.520000:y=13.810000,edge,21,5,2.7999999999986045,2.7999999999986045,0.0,0.0,2.7999999999986045,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=6.310000<->AISLE:x=2.520000:y=6.310000,edge,20,4,2.666666666666096,2.666666666666096,0.0,0.0,2.666666666666096,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=7.510000<->AISLE:x=2.520000:y=7.510000,edge,18,5,2.399999999998414,2.399999999998414,0.0,0.0,2.399999999998414,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=8.410000<->AISLE:x=2.520000:y=8.410000,edge,31,6,4.133333333332331,4.133333333332331,0.0,0.0,4.133333333332331,0.0,1,baseline
EDGE:AISLE:x=2.360000:y=9.310000<->AISLE:x=2.520000:y=9.310000,edge,48,7,6.399999999996183,6.399999999996183,0.0,0.0,6.399999999996183,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=10.210000<->AISLE:x=2.680000:y=10.210000,edge,44,6,5.866666666663491,5.866666666663491,0.0,0.0,5.866666666663491,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=11.110000<->AISLE:x=2.680000:y=11.110000,edge,29,7,3.866666666664443,3.866666666664443,0.0,0.0,3.866666666664443,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=12.010000<->AISLE:x=2.680000:y=12.010000,edge,22,8,2.933333333332641,2.933333333332641,0.0,0.0,2.933333333332641,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=12.910000<->AISLE:x=2.680000:y=12.910000,edge,29,6,3.866666666665836,3.866666666665836,0.0,0.0,3.866666666665836,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=13.810000<->AISLE:x=2.680000:y=13.810000,edge,21,5,2.7999999999986045,2.7999999999986045,0.0,0.0,2.7999999999986045,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=6.310000<->AISLE:x=2.680000:y=6.310000,edge,22,5,2.9333333333327616,2.9333333333327616,0.0,0.0,2.9333333333327616,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=7.510000<->AISLE:x=2.680000:y=7.510000,edge,18,5,2.399999999998414,2.399999999998414,0.0,0.0,2.399999999998414,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=8.410000<->AISLE:x=2.680000:y=8.410000,edge,31,6,4.133333333332331,4.133333333332331,0.0,0.0,4.133333333332331,0.0,1,baseline
EDGE:AISLE:x=2.520000:y=9.310000<->AISLE:x=2.680000:y=9.310000,edge,52,7,6.933333333329486,6.933333333329486,0.0,0.0,6.933333333329486,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=10.210000<->AISLE:x=2.860000:y=10.210000,edge,48,6,7.199999999989785,7.199999999989785,0.0,0.0,7.199999999989785,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=11.110000<->AISLE:x=2.860000:y=11.110000,edge,35,7,5.2499999999925535,5.2499999999925535,0.0,0.0,5.2499999999925535,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=12.010000<->AISLE:x=2.860000:y=12.010000,edge,24,8,3.599999999997962,3.599999999997962,0.0,0.0,3.599999999997962,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=12.910000<->AISLE:x=2.860000:y=12.910000,edge,29,6,4.349999999997536,4.349999999997536,0.0,0.0,4.349999999997536,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=13.810000<->AISLE:x=2.860000:y=13.810000,edge,21,5,3.1499999999958277,3.1499999999958277,0.0,0.0,3.1499999999958277,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=6.310000<->AISLE:x=2.860000:y=6.310000,edge,22,5,3.299999999998313,3.299999999998313,0.0,0.0,3.299999999998313,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=7.510000<->AISLE:x=2.860000:y=7.510000,edge,22,5,3.299999999993787,3.299999999993787,0.0,0.0,3.299999999993787,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=8.410000<->AISLE:x=2.860000:y=8.410000,edge,37,7,5.549999999994995,5.549999999994995,0.0,0.0,5.549999999994995,0.0,1,baseline
EDGE:AISLE:x=2.680000:y=9.310000<->AISLE:x=2.860000:y=9.310000,edge,50,7,7.499999999988461,7.499999999988461,0.0,0.0,7.499999999988461,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=10.210000<->AISLE:x=3.020000:y=10.210000,edge,58,7,7.733333333328915,7.733333333328915,0.0,0.0,7.733333333328915,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=11.110000<->AISLE:x=3.020000:y=11.110000,edge,37,7,4.933333333330836,4.933333333330836,0.0,0.0,4.933333333330836,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=12.010000<->AISLE:x=3.020000:y=12.010000,edge,30,8,3.9999999999988063,3.9999999999988063,0.0,0.0,3.9999999999988063,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=12.910000<->AISLE:x=3.020000:y=12.910000,edge,39,6,5.199999999998184,5.199999999998184,0.0,0.0,5.199999999998184,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=13.810000<->AISLE:x=3.020000:y=13.810000,edge,25,5,3.3333333333319075,3.3333333333319075,0.0,0.0,3.3333333333319075,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=6.310000<->AISLE:x=3.020000:y=6.310000,edge,26,5,3.4666666666660646,3.4666666666660646,0.0,0.0,3.4666666666660646,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=7.510000<->AISLE:x=3.020000:y=7.510000,edge,20,5,2.666666666664838,2.666666666664838,0.0,0.0,2.666666666664838,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=8.410000<->AISLE:x=3.020000:y=8.410000,edge,39,8,5.199999999998035,5.199999999998035,0.0,0.0,5.199999999998035,0.0,1,baseline
EDGE:AISLE:x=2.860000:y=9.310000<->AISLE:x=3.020000:y=9.310000,edge,50,7,6.6666666666628345,6.6666666666628345,0.0,0.0,6.6666666666628345,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=10.210000<->AISLE:x=3.180000:y=10.210000,edge,66,7,8.799999999994384,8.799999999994384,0.0,0.0,8.799999999994384,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=11.110000<->AISLE:x=3.180000:y=11.110000,edge,39,7,5.19999999999726,5.19999999999726,0.0,0.0,5.19999999999726,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=12.010000<->AISLE:x=3.180000:y=12.010000,edge,36,8,4.799999999998533,4.799999999998533,0.0,0.0,4.799999999998533,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=12.910000<->AISLE:x=3.180000:y=12.910000,edge,45,6,5.999999999997456,5.999999999997456,0.0,0.0,5.999999999997456,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=13.810000<->AISLE:x=3.180000:y=13.810000,edge,33,5,4.399999999998286,4.399999999998286,0.0,0.0,4.399999999998286,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=6.310000<->AISLE:x=3.180000:y=6.310000,edge,26,5,3.4666666666660646,3.4666666666660646,0.0,0.0,3.4666666666660646,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=7.510000<->AISLE:x=3.180000:y=7.510000,edge,20,5,2.666666666664838,2.666666666664838,0.0,0.0,2.666666666664838,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=8.410000<->AISLE:x=3.180000:y=8.410000,edge,57,8,7.5999999999977135,7.5999999999977135,0.0,0.0,7.5999999999977135,0.0,1,baseline
EDGE:AISLE:x=3.020000:y=9.310000<->AISLE:x=3.180000:y=9.310000,edge,58,7,7.733333333329213,7.733333333329213,0.0,0.0,7.733333333329213,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=10.210000<->AISLE:x=3.360000:y=10.210000,edge,68,7,10.19999999998251,10.19999999998251,0.0,0.0,10.19999999998251,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=11.110000<->AISLE:x=3.360000:y=11.110000,edge,39,7,5.84999999999178,5.84999999999178,0.0,0.0,5.84999999999178,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=12.010000<->AISLE:x=3.360000:y=12.010000,edge,42,8,6.299999999995592,6.299999999995592,0.0,0.0,6.299999999995592,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=12.910000<->AISLE:x=3.360000:y=12.910000,edge,47,6,7.04999999999167,7.04999999999167,0.0,0.0,7.04999999999167,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=13.810000<->AISLE:x=3.360000:y=13.810000,edge,33,5,4.949999999994873,4.949999999994873,0.0,0.0,4.949999999994873,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=14.710000<->AISLE:x=3.360000:y=14.710000,edge,2,1,0.2999999999999545,0.2999999999999545,0.0,0.0,0.2999999999999545,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=6.310000<->AISLE:x=3.360000:y=6.310000,edge,26,5,3.8999999999983075,3.8999999999983075,0.0,0.0,3.8999999999983075,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=7.510000<->AISLE:x=3.360000:y=7.510000,edge,22,5,3.299999999993787,3.299999999993787,0.0,0.0,3.299999999993787,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=8.410000<->AISLE:x=3.360000:y=8.410000,edge,65,8,9.74999999999185,9.74999999999185,0.0,0.0,9.74999999999185,0.0,1,baseline
EDGE:AISLE:x=3.180000:y=9.310000<->AISLE:x=3.360000:y=9.310000,edge,64,7,9.599999999986096,9.599999999986096,0.0,0.0,9.599999999986096,0.0,1,baseline
EDGE:AISLE:x=3.360000:y=10.210000<->AISLE:x=3.520000:y=10.210000,edge,74,7,9.866666666660535,9.866666666660535,0.0,0.0,9.866666666660535,0.0,1,baseline
EDGE:AISLE:x=3.360000:y=11.110000<->AISLE:x=3.520000:y=11.110000,edge,43,7,5.733333333330563,5.733333333330563,0.0,0.0,5.733333333330563,0.0,1,baseline
