selected_date,entropy_weight,allocation_id,picking_lists,pick_tasks,picked_units,effective_workers,active_zones,D_demand_mismatch,R_congestion_risk,moved_workers_from_volume,observed_workers,mean_release_delay_seconds,workload_share_Z01,workload_share_Z02,workload_share_Z03,workload_share_Z04,microzone_concentration_Z01,microzone_concentration_Z02,microzone_concentration_Z03,microzone_concentration_Z04,workers_Z01,workers_Z02,workers_Z03,workers_Z04,worker_share_Z01,worker_share_Z02,worker_share_Z03,worker_share_Z04,tasks_per_worker,units_per_worker,max_workload_share,max_workers_zone,weighted_microzone_concentration,worker_concentration_pair,macro_workload_entropy_normalized,mean_flow_time_seconds,congestion_conflicts,congestion_wait_seconds,congestion_delay_ratio,makespan_seconds
2023-01-05,0.0,A001,85,1996,1996.0,8,4,0.0410821643286573,0.8089658983634359,0,8,351.94017254901854,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,1,2,0.375,0.25,0.125,0.25,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.8089658983634357,0.9393122844759753,507.3717490196056,313,512.7500000002256,0.0709817871324704,15476.23666666664
2023-01-05,0.05,A001,85,1996,1996.0,8,4,0.0410821643286573,0.8089658983634359,0,8,351.94017254901854,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,1,2,0.375,0.25,0.125,0.25,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.8089658983634357,0.9393122844759753,507.3717490196056,313,512.7500000002256,0.0709817871324704,15476.23666666664
2023-01-05,0.1,A001,85,1996,1996.0,8,4,0.0410821643286573,0.8089658983634359,0,8,351.94017254901854,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,1,2,0.375,0.25,0.125,0.25,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.8089658983634357,0.9393122844759753,507.3717490196056,313,512.7500000002256,0.0709817871324704,15476.23666666664
2023-01-05,0.25,A001,85,1996,1996.0,8,4,0.0410821643286573,0.8089658983634359,0,8,351.94017254901854,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,1,2,0.375,0.25,0.125,0.25,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.8089658983634357,0.9393122844759753,507.3717490196056,313,512.7500000002256,0.0709817871324704,15476.23666666664
2023-01-05,0.5,A002,85,1996,1996.0,8,4,0.1638276553106212,0.4952302180135378,1,8,421.04434901960207,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,2,1,0.375,0.25,0.25,0.125,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.4952302180135376,0.9393122844759753,574.314243137247,241,329.00700000010715,0.0467343405292907,15801.710333333302
2023-01-05,0.75,A002,85,1996,1996.0,8,4,0.1638276553106212,0.4952302180135378,1,8,421.04434901960207,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,2,1,0.375,0.25,0.25,0.125,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.4952302180135376,0.9393122844759753,574.314243137247,241,329.00700000010715,0.0467343405292907,15801.710333333302
2023-01-05,1.0,A002,85,1996,1996.0,8,4,0.1638276553106212,0.4952302180135378,1,8,421.04434901960207,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,2,1,0.375,0.25,0.25,0.125,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.4952302180135376,0.9393122844759753,574.314243137247,241,329.00700000010715,0.0467343405292907,15801.710333333302
2023-01-05,2.0,A002,85,1996,1996.0,8,4,0.1638276553106212,0.4952302180135378,1,8,421.04434901960207,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,2,1,0.375,0.25,0.25,0.125,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.4952302180135376,0.9393122844759753,574.314243137247,241,329.00700000010715,0.0467343405292907,15801.710333333302
2023-01-05,4.0,A002,85,1996,1996.0,8,4,0.1638276553106212,0.4952302180135378,1,8,421.04434901960207,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,2,1,0.375,0.25,0.25,0.125,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.4952302180135376,0.9393122844759753,574.314243137247,241,329.00700000010715,0.0467343405292907,15801.710333333302
2023-01-05,8.0,A002,85,1996,1996.0,8,4,0.1638276553106212,0.4952302180135378,1,8,421.04434901960207,0.4118236472945892,0.2089178356713426,0.127254509018036,0.252004008016032,0.0738625987248433,0.1754846369899226,0.0981577848490851,0.4118934651989832,3,2,2,1,0.375,0.25,0.25,0.125,249.5,249.5,0.4118236472945892,3,0.1833700601820516,0.4952302180135376,0.9393122844759753,574.314243137247,241,329.00700000010715,0.0467343405292907,15801.710333333302
2023-01-06,0.0,A001,65,1422,1422.0,8,4,0.0566104078762306,0.7261038471913306,0,8,492.6014307692269,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,1,2,0.5,0.125,0.125,0.25,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.7261038471913301,0.8316958785998906,636.3536923076882,212,314.634999999977,0.061961674291538,1374.225666666669
2023-01-06,0.05,A001,65,1422,1422.0,8,4,0.0566104078762306,0.7261038471913306,0,8,492.6014307692269,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,1,2,0.5,0.125,0.125,0.25,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.7261038471913301,0.8316958785998906,636.3536923076882,212,314.634999999977,0.061961674291538,1374.225666666669
2023-01-06,0.1,A001,65,1422,1422.0,8,4,0.0566104078762306,0.7261038471913306,0,8,492.6014307692269,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,1,2,0.5,0.125,0.125,0.25,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.7261038471913301,0.8316958785998906,636.3536923076882,212,314.634999999977,0.061961674291538,1374.225666666669
2023-01-06,0.25,A001,65,1422,1422.0,8,4,0.0566104078762306,0.7261038471913306,0,8,492.6014307692269,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,1,2,0.5,0.125,0.125,0.25,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.7261038471913301,0.8316958785998906,636.3536923076882,212,314.634999999977,0.061961674291538,1374.225666666669
2023-01-06,0.5,A002,65,1422,1422.0,8,4,0.1816104078762306,0.2581043374854157,1,8,654.9832589743583,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,2,1,0.5,0.125,0.25,0.125,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.2581043374854153,0.8316958785998906,796.9574897435888,143,199.0630000000173,0.0401148655116337,2677.2373333333185
2023-01-06,0.75,A002,65,1422,1422.0,8,4,0.1816104078762306,0.2581043374854157,1,8,654.9832589743583,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,2,1,0.5,0.125,0.25,0.125,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.2581043374854153,0.8316958785998906,796.9574897435888,143,199.0630000000173,0.0401148655116337,2677.2373333333185
2023-01-06,1.0,A002,65,1422,1422.0,8,4,0.1816104078762306,0.2581043374854157,1,8,654.9832589743583,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,2,1,0.5,0.125,0.25,0.125,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.2581043374854153,0.8316958785998906,796.9574897435888,143,199.0630000000173,0.0401148655116337,2677.2373333333185
2023-01-06,2.0,A002,65,1422,1422.0,8,4,0.1816104078762306,0.2581043374854157,1,8,654.9832589743583,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,2,1,0.5,0.125,0.25,0.125,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.2581043374854153,0.8316958785998906,796.9574897435888,143,199.0630000000173,0.0401148655116337,2677.2373333333185
2023-01-06,4.0,A002,65,1422,1422.0,8,4,0.1816104078762306,0.2581043374854157,1,8,654.9832589743583,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,4,1,2,1,0.5,0.125,0.25,0.125,177.75,177.75,0.5147679324894515,4,0.18772958121098685,0.2581043374854153,0.8316958785998906,796.9574897435888,143,199.0630000000173,0.0401148655116337,2677.2373333333185
2023-01-06,8.0,A003,65,1422,1422.0,8,4,0.3066104078762307,0.2387331899929137,2,8,732.7154179487194,0.5147679324894515,0.0942334739803094,0.0991561181434599,0.2918424753867792,0.0357053214975555,0.165688906655315,0.0438724085000823,0.5118719182059972,3,1,3,1,0.375,0.125,0.375,0.125,177.75,177.75,0.5147679324894515,3,0.18772958121098685,0.2387331899929134,0.8316958785998906,873.8057564102586,109,141.60999999999714,0.028871293685135,2667.023999999995
2023-01-09,0.0,A001,55,1181,1181.0,7,4,0.1215676787226321,2.600343789674532,0,7,284.5001424242394,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,1,1,4,1,0.1428571428571428,0.1428571428571428,0.5714285714285714,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,4,0.3372970954974496,2.6003437896745316,0.7725806553602964,424.3702939393893,148,296.3396666665566,0.0714095862709921,17051.38566666669
2023-01-09,0.05,A002,55,1181,1181.0,7,4,0.1745494133301076,1.4337084750235445,1,7,270.61002121211993,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,2,1,3,1,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,3,0.3372970954974496,1.433708475023544,0.7725806553602964,409.58764242424127,145,247.2504999999632,0.0602936888059324,17048.762500000037
2023-01-09,0.1,A002,55,1181,1181.0,7,4,0.1745494133301076,1.4337084750235445,1,7,270.61002121211993,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,2,1,3,1,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,3,0.3372970954974496,1.433708475023544,0.7725806553602964,409.58764242424127,145,247.2504999999632,0.0602936888059324,17048.762500000037
2023-01-09,0.25,A003,55,1181,1181.0,7,4,0.2782145881214467,0.8837812546453673,2,7,341.81558484848614,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,2,1,2,2,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.2857142857142857,168.71428571428572,168.71428571428572,0.5639288738357324,2,0.3372970954974496,0.8837812546453672,0.7725806553602964,480.2172727272765,114,215.5741666667364,0.0529784341366658,16936.28700000005
2023-01-09,0.5,A004,55,1181,1181.0,7,4,0.3174065561872505,0.7453201408290404,2,7,372.37174545454417,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,2,2,2,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,2,0.3372970954974496,0.7453201408290404,0.7725806553602964,510.3590363636361,122,192.78233333328973,0.0476440910681849,17046.76300000004
2023-01-09,0.75,A004,55,1181,1181.0,7,4,0.3174065561872505,0.7453201408290404,2,7,372.37174545454417,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,2,2,2,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,2,0.3372970954974496,0.7453201408290404,0.7725806553602964,510.3590363636361,122,192.78233333328973,0.0476440910681849,17046.76300000004
2023-01-09,1.0,A005,55,1181,1181.0,7,4,0.4602636990443933,0.5790026695891751,3,7,656.1622484848581,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,3,2,1,1,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,3,0.3372970954974496,0.579002669589175,0.7725806553602964,792.8426545454668,84,120.90366666666452,0.0304204376199896,17613.02300000008
2023-01-09,2.0,A005,55,1181,1181.0,7,4,0.4602636990443933,0.5790026695891751,3,7,656.1622484848581,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,3,2,1,1,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,3,0.3372970954974496,0.579002669589175,0.7725806553602964,792.8426545454668,84,120.90366666666452,0.0304204376199896,17613.02300000008
2023-01-09,4.0,A005,55,1181,1181.0,7,4,0.4602636990443933,0.5790026695891751,3,7,656.1622484848581,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,3,2,1,1,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,3,0.3372970954974496,0.579002669589175,0.7725806553602964,792.8426545454668,84,120.90366666666452,0.0304204376199896,17613.02300000008
2023-01-09,8.0,A005,55,1181,1181.0,7,4,0.4602636990443933,0.5790026695891751,3,7,656.1622484848581,0.2252328535139712,0.0287891617273497,0.5639288738357324,0.1820491109229466,0.1335365801862783,0.1783929290303401,0.433390631612422,0.3168540428466669,3,2,1,1,0.4285714285714285,0.2857142857142857,0.1428571428571428,0.1428571428571428,168.71428571428572,168.71428571428572,0.5639288738357324,3,0.3372970954974496,0.579002669589175,0.7725806553602964,792.8426545454668,84,120.90366666666452,0.0304204376199896,17613.02300000008
2023-01-10,0.0,A001,66,1324,1324.0,8,4,0.0675981873111782,4.008684701486038,0,8,335.4602626262612,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,4,2,1,1,0.5,0.25,0.125,0.125,165.5,165.5,0.513595166163142,4,0.4573609391436244,4.008684701486038,0.8655084916999194,477.2631767676763,413,2224.607666666688,0.4129591298842874,22060.48800000001
2023-01-10,0.05,A002,66,1324,1324.0,8,4,0.138595166163142,2.437787373510302,1,8,349.2672777777773,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,3,2,2,1,0.375,0.25,0.25,0.125,165.5,165.5,0.513595166163142,3,0.4573609391436244,2.437787373510302,0.8655084916999194,482.3637070707075,420,1649.9796666666718,0.3428625832084028,22060.48800000001
2023-01-10,0.1,A002,66,1324,1324.0,8,4,0.138595166163142,2.437787373510302,1,8,349.2672777777773,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,3,2,2,1,0.375,0.25,0.25,0.125,165.5,165.5,0.513595166163142,3,0.4573609391436244,2.437787373510302,0.8655084916999194,482.3637070707075,420,1649.9796666666718,0.3428625832084028,22060.48800000001
2023-01-10,0.25,A003,66,1324,1324.0,8,4,0.263595166163142,1.4595838721491798,2,8,406.8682121212113,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,2,2,2,2,0.25,0.25,0.25,0.25,165.5,165.5,0.513595166163142,2,0.4573609391436244,1.4595838721491798,0.8655084916999194,525.6042424242424,269,702.1933333333252,0.1816998733971249,21991.15466666668
2023-01-10,0.5,A003,66,1324,1324.0,8,4,0.263595166163142,1.4595838721491798,2,8,406.8682121212113,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,2,2,2,2,0.25,0.25,0.25,0.25,165.5,165.5,0.513595166163142,2,0.4573609391436244,1.4595838721491798,0.8655084916999194,525.6042424242424,269,702.1933333333252,0.1816998733971249,21991.15466666668
2023-01-10,0.75,A003,66,1324,1324.0,8,4,0.263595166163142,1.4595838721491798,2,8,406.8682121212113,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,2,2,2,2,0.25,0.25,0.25,0.25,165.5,165.5,0.513595166163142,2,0.4573609391436244,1.4595838721491798,0.8655084916999194,525.6042424242424,269,702.1933333333252,0.1816998733971249,21991.15466666668
2023-01-10,1.0,A004,66,1324,1324.0,8,4,0.388595166163142,1.3202606334234253,3,8,663.6011313131322,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,1,2,2,3,0.125,0.25,0.25,0.375,165.5,165.5,0.513595166163142,3,0.4573609391436244,1.320260633423425,0.8655084916999194,774.1929343434354,74,164.67433333333864,0.0494954653143626,21991.15466666668
2023-01-10,2.0,A004,66,1324,1324.0,8,4,0.388595166163142,1.3202606334234253,3,8,663.6011313131322,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,1,2,2,3,0.125,0.25,0.25,0.375,165.5,165.5,0.513595166163142,3,0.4573609391436244,1.320260633423425,0.8655084916999194,774.1929343434354,74,164.67433333333864,0.0494954653143626,21991.15466666668
2023-01-10,4.0,A004,66,1324,1324.0,8,4,0.388595166163142,1.3202606334234253,3,8,663.6011313131322,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,1,2,2,3,0.125,0.25,0.25,0.375,165.5,165.5,0.513595166163142,3,0.4573609391436244,1.320260633423425,0.8655084916999194,774.1929343434354,74,164.67433333333864,0.0494954653143626,21991.15466666668
2023-01-10,8.0,A004,66,1324,1324.0,8,4,0.388595166163142,1.3202606334234253,3,8,663.6011313131322,0.513595166163142,0.216012084592145,0.1790030211480362,0.0913897280966767,0.60569458799883,0.3745171734930574,0.2461864360207546,0.2331856746365377,1,2,2,3,0.125,0.25,0.25,0.375,165.5,165.5,0.513595166163142,3,0.4573609391436244,1.320260633423425,0.8655084916999194,774.1929343434354,74,164.67433333333864,0.0494954653143626,21991.15466666668
2023-01-11,0.0,A001,22,396,396.0,8,4,0.1010101010101009,3.21960548545394,0,8,61.35775757575712,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,5,1,1,1,0.625,0.125,0.125,0.125,49.5,49.5,0.6590909090909091,5,0.2608886408929692,3.21960548545394,0.6941538901172762,194.37445454545275,56,99.60166666664604,0.0572960989065876,19351.135
2023-01-11,0.05,A001,22,396,396.0,8,4,0.1010101010101009,3.21960548545394,0,8,61.35775757575712,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,5,1,1,1,0.625,0.125,0.125,0.125,49.5,49.5,0.6590909090909091,5,0.2608886408929692,3.21960548545394,0.6941538901172762,194.37445454545275,56,99.60166666664604,0.0572960989065876,19351.135
2023-01-11,0.1,A002,22,396,396.0,8,4,0.159090909090909,2.060918902333667,1,8,49.79246969696936,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,4,1,2,1,0.5,0.125,0.25,0.125,49.5,49.5,0.6590909090909091,4,0.2608886408929692,2.060918902333667,0.6941538901172762,183.52819696969544,70,115.42033333331528,0.0657970895522578,19351.135
2023-01-11,0.25,A003,22,396,396.0,8,4,0.284090909090909,1.2344615194707154,2,8,78.89107575757508,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,3,1,2,2,0.375,0.125,0.25,0.25,49.5,49.5,0.6590909090909091,3,0.2608886408929692,1.2344615194707154,0.6941538901172762,212.2217878787858,56,106.5099999999802,0.0610276084370141,19351.135
2023-01-11,0.5,A004,22,396,396.0,8,4,0.409090909090909,0.8073609775899315,3,8,145.14715151514994,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,2,2,2,2,0.25,0.25,0.25,0.25,49.5,49.5,0.6590909090909091,2,0.2608886408929692,0.8073609775899315,0.6941538901172762,275.5631515151484,25,42.38633333331318,0.0252126716283322,19351.135
2023-01-11,0.75,A004,22,396,396.0,8,4,0.409090909090909,0.8073609775899315,3,8,145.14715151514994,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,2,2,2,2,0.25,0.25,0.25,0.25,49.5,49.5,0.6590909090909091,2,0.2608886408929692,0.8073609775899315,0.6941538901172762,275.5631515151484,25,42.38633333331318,0.0252126716283322,19351.135
2023-01-11,1.0,A004,22,396,396.0,8,4,0.409090909090909,0.8073609775899315,3,8,145.14715151514994,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,2,2,2,2,0.25,0.25,0.25,0.25,49.5,49.5,0.6590909090909091,2,0.2608886408929692,0.8073609775899315,0.6941538901172762,275.5631515151484,25,42.38633333331318,0.0252126716283322,19351.135
2023-01-11,2.0,A005,22,396,396.0,8,4,0.5340909090909091,0.7437116511671431,4,8,352.88709090908986,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,1,2,3,2,0.125,0.25,0.375,0.25,49.5,49.5,0.6590909090909091,3,0.2608886408929692,0.7437116511671431,0.6941538901172762,483.5296666666664,23,47.3709999999815,0.0280944012051105,19351.135
2023-01-11,4.0,A005,22,396,396.0,8,4,0.5340909090909091,0.7437116511671431,4,8,352.88709090908986,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,1,2,3,2,0.125,0.25,0.375,0.25,49.5,49.5,0.6590909090909091,3,0.2608886408929692,0.7437116511671431,0.6941538901172762,483.5296666666664,23,47.3709999999815,0.0280944012051105,19351.135
2023-01-11,8.0,A005,22,396,396.0,8,4,0.5340909090909091,0.7437116511671431,4,8,352.88709090908986,0.6590909090909091,0.0404040404040404,0.1919191919191919,0.1085858585858585,0.321960548545394,0.2168205552100043,0.1291556110613028,0.1394242627732304,1,2,3,2,0.125,0.25,0.375,0.25,49.5,49.5,0.6590909090909091,3,0.2608886408929692,0.7437116511671431,0.6941538901172762,483.5296666666664,23,47.3709999999815,0.0280944012051105,19351.135
2023-01-12,0.0,A001,76,1565,1565.0,10,4,0.0568690095846645,2.9027074501171617,0,10,256.9255570175424,0.1431309904153354,0.1246006389776357,0.3060702875399361,0.4261980830670926,0.0338252682635491,0.2521385070474056,0.2973106468422358,0.3294917068878175,2,1,3,4,0.2,0.1,0.3,0.4,156.5,156.5,0.4261980830670926,4,0.2676847522663797,2.9027074501171617,0.9114924912710682,384.9756008771912,364,860.5353333333748,0.1708495004437428,14313.243666666667
2023-01-12,0.05,A001,76,1565,1565.0,10,4,0.0568690095846645,2.9027074501171617,0,10,256.9255570175424,0.1431309904153354,0.1246006389776357,0.3060702875399361,0.4261980830670926,0.0338252682635491,0.2521385070474056,0.2973106468422358,0.3294917068878175,2,1,3,4,0.2,0.1,0.3,0.4,156.5,156.5,0.4261980830670926,4,0.2676847522663797,2.9027074501171617,0.9114924912710682,384.9756008771912,364,860.5353333333748,0.1708495004437428,14313.243666666667
2023-01-12,0.1,A001,76,1565,1565.0,10,4,0.0568690095846645,2.9027074501171617,0,10,256.9255570175424,0.1431309904153354,0.1246006389776357,0.3060702875399361,0.4261980830670926,0.0338252682635491,0.2521385070474056,0.2973106468422358,0.3294917068878175,2,1,3,4,0.2,0.1,0.3,0.4,156.5,156.5,0.4261980830670926,4,0.2676847522663797,2.9027074501171617,0.9114924912710682,384.9756008771912,364,860.5353333333748,0.1708495004437428,14313.243666666667
2023-01-12,0.25,A002,76,1565,1565.0,10,4,0.3568690095846645,0.9650550363655448,3,10,422.4426469298214,0.1431309904153354,0.1246006389776357,0.3060702875399361,0.4261980830670926,0.0338252682635491,0.2521385070474056,0.2973106468422358,0.3294917068878175,5,1,2,2,0.5,0.1,0.2,0.2,156.5,156.5,0.4261980830670926,5,0.2676847522663797,0.9650550363655442,0.9114924912710682,544.1834166666639,188,381.0305000000111,0.0836088529202133,14281.529166666667
2023-01-12,0.5,A002,76,1565,1565.0,10,4,0.3568690095846645,0.9650550363655448,3,10,422.4426469298214,0.1431309904153354,0.1246006389776357,0.3060702875399361,0.4261980830670926,0.0338252682635491,0.2521385070474056,0.2973106468422358,0.3294917068878175,5,1,2,2,0.5,0.1,0.2,0.2,156.5,156.5,0.4261980830670926,5,0.2676847522663797,0.9650550363655442,0.9114924912710682,544.1834166666639,188,381.0305000000111,0.0836088529202133,14281.529166666667
2023-01-12,0.75,A003,76,1565,1565.0,10,4,0.4568690095846645,0.804689670795473,4,10,701.9208289473695,0.1431309904153354,0.1246006389776357,0.3060702875399361,0.4261980830670926,0.0338252682635491,0.2521385070474056,0.2973106468422358,0.3294917068878175,6,1,2,1,0.6,0.1,0.2,0.1,156.5,156.5,0.4261980830670926,6,0.2676847522663797,0.8046896707954723,0.9114924912710682,822.0191184210538,125,256.2020000000379,0.0578011808314636,14433.391000000014
