target,feature,importance,importance_normalized
congestion_conflicts,picking_lists,0.40403004229397715,0.4040300422939772
congestion_conflicts,picked_units,0.10593728665351938,0.1059372866535194
congestion_conflicts,pick_tasks,0.10127585068116958,0.1012758506811696
congestion_conflicts,R_congestion_risk,0.04142375072150649,0.041423750721506496
congestion_conflicts,worker_concentration_pair,0.03972540396532919,0.0397254039653292
congestion_conflicts,worker_share_Z01,0.03762244081739255,0.037622440817392556
congestion_conflicts,workers_Z01,0.03687599058240269,0.0368759905824027
congestion_conflicts,macro_workload_entropy_normalized,0.030458207182874484,0.030458207182874487
congestion_conflicts,worker_share_Z03,0.023653464936261123,0.023653464936261127
congestion_conflicts,D_demand_mismatch,0.02231638073914819,0.022316380739148194
congestion_conflicts,units_per_worker,0.019162927362432584,0.019162927362432587
congestion_conflicts,tasks_per_worker,0.016505566415704814,0.016505566415704817
congestion_conflicts,max_workload_share,0.015190005119433766,0.015190005119433768
congestion_conflicts,workload_share_Z03,0.011845140192679866,0.011845140192679867
congestion_conflicts,worker_share_Z02,0.01004082628801833,0.010040826288018332
congestion_conflicts,moved_workers_from_volume,0.009813486532836006,0.009813486532836008
congestion_conflicts,microzone_concentration_Z02,0.008803892789657404,0.008803892789657406
congestion_conflicts,max_workers_zone,0.007662937269041135,0.007662937269041136
congestion_conflicts,worker_share_Z04,0.007547909223791718,0.007547909223791719
congestion_conflicts,weighted_microzone_concentration,0.006094315141297786,0.006094315141297787
congestion_conflicts,observed_workers,0.006085519207270524,0.006085519207270525
congestion_conflicts,effective_workers,0.005520601641945377,0.005520601641945378
congestion_conflicts,workload_share_Z02,0.004961216719123516,0.004961216719123517
congestion_conflicts,microzone_concentration_Z01,0.004118461740799284,0.004118461740799285
congestion_conflicts,microzone_concentration_Z03,0.004092279491927952,0.004092279491927953
congestion_conflicts,microzone_concentration_Z04,0.0038043107823923393,0.0038043107823923397
congestion_conflicts,workers_Z02,0.0036705513335277056,0.003670551333527706
congestion_conflicts,workload_share_Z04,0.0036624583942919038,0.003662458394291904
congestion_conflicts,workload_share_Z01,0.0033273410589818053,0.0033273410589818057
congestion_conflicts,workers_Z03,0.003026659354895479,0.0030266593548954794
congestion_conflicts,workers_Z04,0.001468691127696677,0.0014686911276966773
congestion_conflicts,active_zones,0.0002760842386731246,0.0002760842386731247
congestion_delay_ratio,R_congestion_risk,0.3314872368478184,0.33148723684781833
congestion_delay_ratio,worker_concentration_pair,0.3215093647555044,0.32150936475550435
congestion_delay_ratio,weighted_microzone_concentration,0.03177738482190247,0.03177738482190246
congestion_delay_ratio,macro_workload_entropy_normalized,0.03166804144455442,0.031668041444554415
congestion_delay_ratio,pick_tasks,0.02341858843828486,0.023418588438284857
congestion_delay_ratio,workload_share_Z03,0.022700028590747306,0.022700028590747302
congestion_delay_ratio,worker_share_Z03,0.02044896990403717,0.020448969904037165
congestion_delay_ratio,microzone_concentration_Z01,0.019137437664732596,0.019137437664732592
congestion_delay_ratio,D_demand_mismatch,0.01800229461107911,0.018002294611079106
congestion_delay_ratio,picked_units,0.01778679858350573,0.017786798583505726
congestion_delay_ratio,worker_share_Z04,0.016907327090766627,0.016907327090766623
congestion_delay_ratio,max_workload_share,0.016379808875636847,0.016379808875636843
congestion_delay_ratio,picking_lists,0.01442176098422404,0.014421760984224036
congestion_delay_ratio,microzone_concentration_Z02,0.011351168084029065,0.011351168084029063
congestion_delay_ratio,microzone_concentration_Z03,0.0109064885483134,0.010906488548313399
congestion_delay_ratio,worker_share_Z01,0.010004955342690984,0.010004955342690983
congestion_delay_ratio,workload_share_Z04,0.008973680488702368,0.008973680488702366
congestion_delay_ratio,workload_share_Z01,0.008766403771102665,0.008766403771102663
congestion_delay_ratio,microzone_concentration_Z04,0.007973578226037125,0.007973578226037123
congestion_delay_ratio,workers_Z01,0.006821145745108348,0.006821145745108346
congestion_delay_ratio,worker_share_Z02,0.006465923331109305,0.006465923331109303
congestion_delay_ratio,moved_workers_from_volume,0.006017310879917648,0.006017310879917646
congestion_delay_ratio,tasks_per_worker,0.005826882805578088,0.005826882805578087
congestion_delay_ratio,units_per_worker,0.005794446620115227,0.0057944466201152265
congestion_delay_ratio,max_workers_zone,0.0053554341400247184,0.005355434140024718
