target,feature,importance,importance_normalized
congestion_conflicts,picked_units,0.16342617571353912,0.16342617055768005
congestion_conflicts,picking_lists,0.15026257932186127,0.15026257458129458
congestion_conflicts,max_workload_share,0.12298943102359772,0.12298942714345935
congestion_conflicts,workers_Z01,0.11759819090366364,0.11759818719361109
congestion_conflicts,pick_tasks,0.09527844935655594,0.0952784463506589
congestion_conflicts,active_zones,0.05005809664726257,0.05005809506800215
congestion_conflicts,observed_workers,0.047746993601322174,0.0477469920949737
congestion_conflicts,effective_workers,0.03672584891319275,0.036725847754545425
congestion_conflicts,macro_workload_entropy_normalized,0.029456691816449165,0.029456690887133215
congestion_conflicts,R_congestion_risk,0.026314089074730873,0.026314088244559487
congestion_conflicts,worker_share_Z01,0.024052521213889122,0.024052520455066926
congestion_conflicts,worker_concentration_pair,0.015945974737405777,0.015945974234333377
congestion_conflicts,D_demand_mismatch,0.014777064323425293,0.014777063857230321
congestion_conflicts,max_workers_zone,0.014066599309444427,0.0140665988656636
congestion_conflicts,worker_share_Z03,0.009616464376449585,0.009616464073064067
congestion_conflicts,worker_share_Z02,0.008993702940642834,0.008993702656904535
congestion_conflicts,microzone_concentration_Z01,0.008716992102563381,0.008716991827554909
congestion_conflicts,moved_workers_from_volume,0.008709180168807507,0.00870917989404549
congestion_conflicts,workers_Z02,0.008090636692941189,0.008090636437693323
congestion_conflicts,weighted_microzone_concentration,0.008009630255401134,0.008009630002708905
congestion_conflicts,workload_share_Z01,0.006724793463945389,0.0067247932517878976
congestion_conflicts,worker_share_Z04,0.006501110270619392,0.006501110065518782
congestion_conflicts,tasks_per_worker,0.00646626390516758,0.006466263701166322
congestion_conflicts,workers_Z03,0.0034541417844593525,0.0034541416754861835
congestion_conflicts,workload_share_Z02,0.0031716367229819298,0.003171636622921386
congestion_conflicts,microzone_concentration_Z04,0.0027450963389128447,0.002745096252309032
congestion_conflicts,microzone_concentration_Z03,0.002220654394477606,0.0022206543244191767
congestion_conflicts,microzone_concentration_Z02,0.001944329240359366,0.0019443291790185954
congestion_conflicts,workload_share_Z03,0.0019401225727051497,0.0019401225114970932
congestion_conflicts,workers_Z04,0.0018080327427014709,0.0018080326856606572
congestion_conflicts,units_per_worker,0.0014252715045586228,0.0014252714595933717
congestion_conflicts,workload_share_Z04,0.0007632661145180464,0.0007632660904381063
congestion_delay_ratio,worker_concentration_pair,0.2277018129825592,0.22770181819137736
congestion_delay_ratio,R_congestion_risk,0.16522422432899475,0.16522422810859988
congestion_delay_ratio,macro_workload_entropy_normalized,0.1199510470032692,0.11995104974722272
congestion_delay_ratio,effective_workers,0.052100151777267456,0.05210015296909028
congestion_delay_ratio,workload_share_Z01,0.03872485086321831,0.03872485174907294
congestion_delay_ratio,pick_tasks,0.03787675499916077,0.03787675586561469
congestion_delay_ratio,worker_share_Z03,0.037755925208330154,0.037755926072020024
congestion_delay_ratio,microzone_concentration_Z01,0.03767455369234085,0.03767455455416929
congestion_delay_ratio,workload_share_Z03,0.033889882266521454,0.033889883041773226
congestion_delay_ratio,active_zones,0.03035557083785534,0.030355571532257576
congestion_delay_ratio,moved_workers_from_volume,0.02584480307996273,0.025844803671178397
congestion_delay_ratio,picked_units,0.02069041319191456,0.020690413665220408
congestion_delay_ratio,workers_Z01,0.018685152754187584,0.018685153181621873
congestion_delay_ratio,picking_lists,0.01822059601545334,0.01822059643226061
congestion_delay_ratio,observed_workers,0.01784784346818924,0.01784784387646957
congestion_delay_ratio,microzone_concentration_Z02,0.016719399020075798,0.01671939940254227
congestion_delay_ratio,weighted_microzone_concentration,0.014323749579489231,0.014323749907153759
congestion_delay_ratio,D_demand_mismatch,0.014155613258481026,0.014155613582299331
congestion_delay_ratio,units_per_worker,0.012382044456899166,0.012382044740146002
congestion_delay_ratio,tasks_per_worker,0.010423597879707813,0.010423598118153986
congestion_delay_ratio,microzone_concentration_Z03,0.007858037948608398,0.00785803812836582
congestion_delay_ratio,max_workers_zone,0.007154655642807484,0.007154655806474605
congestion_delay_ratio,microzone_concentration_Z04,0.00588771840557456,0.005887718540259717
congestion_delay_ratio,workload_share_Z02,0.005289699882268906,0.005289700003274024
congestion_delay_ratio,max_workload_share,0.004887920338660479,0.004887920450474644
congestion_delay_ratio,worker_share_Z01,0.0037767488975077868,0.003776748983903226
congestion_delay_ratio,worker_share_Z02,0.003768166294321418,0.003768166380520525
congestion_delay_ratio,workers_Z03,0.003169963601976633,0.0031699636744914883
congestion_delay_ratio,workload_share_Z04,0.002793213352560997,0.0027932134164574598
congestion_delay_ratio,workers_Z04,0.002118245931342244,0.0021182459797984146
congestion_delay_ratio,worker_share_Z04,0.001771079609170556,0.0017710796496850846
congestion_delay_ratio,workers_Z02,0.0009765405557118356,0.0009765405780507978
congestion_wait_seconds,workers_Z01,0.16175112128257751,0.16175110714101681
congestion_wait_seconds,picked_units,0.14949624240398407,0.14949622933384168
congestion_wait_seconds,picking_lists,0.11794919520616531,0.11794918489411499
congestion_wait_seconds,pick_tasks,0.08634856343269348,0.08634855588342
congestion_wait_seconds,workers_Z02,0.0537230558693409,0.05372305117244699
congestion_wait_seconds,R_congestion_risk,0.04366888850927353,0.04366888469139435
congestion_wait_seconds,worker_share_Z03,0.04250394180417061,0.04250393808814028
congestion_wait_seconds,max_workload_share,0.03965054452419281,0.039650541057629
congestion_wait_seconds,macro_workload_entropy_normalized,0.035648833960294724,0.035648830843592064
congestion_wait_seconds,worker_concentration_pair,0.033029068261384964,0.03302906537372292
congestion_wait_seconds,worker_share_Z01,0.029458731412887573,0.029458728837372578
congestion_wait_seconds,observed_workers,0.0266500785946846,0.02665007626472422
congestion_wait_seconds,workers_Z04,0.024226414039731026,0.024226411921666545
congestion_wait_seconds,D_demand_mismatch,0.019837908446788788,0.01983790671240213
congestion_wait_seconds,workload_share_Z04,0.018721511587500572,0.018721509950718147
congestion_wait_seconds,microzone_concentration_Z01,0.016074707731604576,0.01607470632622665
congestion_wait_seconds,effective_workers,0.015320408158004284,0.015320406818573187
congestion_wait_seconds,moved_workers_from_volume,0.013574936427175999,0.013574935240347826
congestion_wait_seconds,workload_share_Z02,0.012377221137285233,0.012377220055170793
congestion_wait_seconds,tasks_per_worker,0.008257354609668255,0.00825735388774509
congestion_wait_seconds,worker_share_Z04,0.00763007951900363,0.007630078851921808
congestion_wait_seconds,workload_share_Z03,0.0061147031374275684,0.0061147026028319194
congestion_wait_seconds,workload_share_Z01,0.006100797094404697,0.006100796561024825
congestion_wait_seconds,worker_share_Z02,0.00607819389551878,0.0060781933641150575
congestion_wait_seconds,max_workers_zone,0.00598848657682538,0.005988486053264581
congestion_wait_seconds,weighted_microzone_concentration,0.005624820943921804,0.0056248204521555266
congestion_wait_seconds,microzone_concentration_Z04,0.004724632017314434,0.004724631604249783
congestion_wait_seconds,units_per_worker,0.002873482182621956,0.0028734819313994456
congestion_wait_seconds,microzone_concentration_Z03,0.0025012365076690912,0.0025012362889912385
congestion_wait_seconds,microzone_concentration_Z02,0.002093788469210267,0.00209378828615474
congestion_wait_seconds,workers_Z03,0.0016018279129639268,0.0016018277729194777
congestion_wait_seconds,active_zones,0.0003993117716163397,0.00039931173670535044
mean_flow_time_seconds,tasks_per_worker,0.42668741941452026,0.4266874199857592
mean_flow_time_seconds,units_per_worker,0.2039611041545868,0.20396110442764506
mean_flow_time_seconds,pick_tasks,0.060676515102386475,0.06067651518361875
mean_flow_time_seconds,workload_share_Z04,0.05891888216137886,0.058918882240258055
mean_flow_time_seconds,D_demand_mismatch,0.044990405440330505,0.04499040550056259
mean_flow_time_seconds,picked_units,0.031579211354255676,0.03157921139653317
mean_flow_time_seconds,max_workload_share,0.026078972965478897,0.026078973000392806
mean_flow_time_seconds,max_workers_zone,0.020202022045850754,0.02020202207289674
mean_flow_time_seconds,worker_concentration_pair,0.016261737793684006,0.016261737815454834
mean_flow_time_seconds,workload_share_Z02,0.014949431642889977,0.01494943166290392
mean_flow_time_seconds,weighted_microzone_concentration,0.009990857914090157,0.00999085792746568
mean_flow_time_seconds,moved_workers_from_volume,0.009357915259897709,0.009357915272425863
mean_flow_time_seconds,R_congestion_risk,0.008934366516768932,0.00893436652873005
mean_flow_time_seconds,microzone_concentration_Z01,0.007322257850319147,0.007322257860122011
mean_flow_time_seconds,microzone_concentration_Z03,0.006551643367856741,0.006551643376627925
