entropy_weight,mean_flow_time_seconds,flow_time_change_vs_lambda0_pct,congestion_conflicts,conflicts_reduction_vs_lambda0_pct,congestion_wait_seconds,wait_reduction_vs_lambda0_pct,congestion_delay_ratio,congestion_percent,congestion_reduction_vs_lambda0_pct,congestion_index_lambda0,composite_congestion_reduction_vs_lambda0_pct,pareto_frontier,flow_normalized,congestion_index_normalized,knee_frontier,knee_score,selected_knee
0.0,440.8861889962576,0.0,146.54347826086956,-0.0,320.79611956521904,-0.0,0.08051368300604834,8.051368300604835,-0.0,1.0,0.0,True,0.0,1.0,True,0.0,False
0.05,443.6692186078362,0.6312353802496294,144.31521739130434,1.5205459130692784,307.00936050725994,4.297670145338588,0.07865476191963394,7.865476191963394,2.308826297605535,0.9729098588132886,2.709014118671138,True,0.019946180610753157,0.9327487713068934,True,0.03344972028338782,False
0.1,447.513173289117,1.5031054404191468,139.91304347826087,4.524551253523211,292.93011775363425,8.68651461537381,0.07661374627768774,7.661374627768774,4.843818569407177,0.9398170518723193,6.018294812768065,True,0.047496090253606425,0.850595935249485,True,0.07205981982374982,False
0.25,462.1301920856531,4.8184777885105925,129.83695652173913,11.400385699451121,248.10749456523615,22.658823023950273,0.06878594642336107,6.878594642336107,14.566140989732473,0.8379155009562206,16.208449904377943,True,0.15225735319291958,0.5976255111528239,True,0.17685952271208039,True
0.5,488.24552658665164,10.741851020149792,120.44565217391305,17.808930425752852,225.33853442029857,29.75646503277406,0.06336481553741516,6.336481553741516,21.29932059789754,0.7704509464785851,22.954905352141488,True,0.3394279016125167,0.4301448712187805,True,0.1629366549010028,False
0.75,506.03368543128903,14.776488368426623,114.83695652173913,21.636255748405286,211.23848369566056,34.151795856522206,0.05858146266314354,5.858146266314354,27.24036402763641,0.7232386145581203,27.676138544187967,True,0.4669169615821826,0.31294033879369587,True,0.15566439573292956,False
1.0,523.7444838472112,18.793579141046067,109.6195652173913,25.19655837412847,200.21728623189435,37.587372782671885,0.05553673967462946,5.553673967462946,31.021985827604695,0.6873136100519832,31.268638994801677,True,0.5938515735945363,0.22375657717386935,True,0.12897051342481475,False
2.0,558.7840848503673,26.74111795665944,100.91304347826087,31.137813380804033,179.95121376810363,43.90480345834767,0.051501114901517646,5.150111490151764,36.03433232876854,0.6297435027735991,37.02564972264008,True,0.8449830050496392,0.08083888531759857,True,0.05245184433692537,False
4.0,574.4725493877229,30.299511240212432,96.8695652173913,33.89704791573951,173.33151449274902,45.96832569930445,0.049533165886709425,4.953316588670942,38.47857402947472,0.6055201745182711,39.44798254817289,True,0.957423399454925,0.02070451477373599,True,0.01546590016760755,False
8.0,580.413132318844,31.646929934512126,95.3695652173913,34.920634920634924,170.8938315217267,46.72821112881843,0.048954606256943214,4.895460625694321,39.19715950235981,0.5971799814939561,40.28200185060439,True,1.0,0.0,True,0.0,False
