method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds,entropy_weight,allocation_id
entropy_based,edge,SUP:LC-11<->SUP:LC-12,1,1,0.36666666666668846,0.36666666666668846,0.36666666666668846,0.0,A001
entropy_based,pick_node,AISLE:x=1.020000:y=9.310000,1,1,2.5333333333346673,2.5333333333346673,2.5333333333346673,0.0,A001
entropy_based,pick_node,AISLE:x=1.680000:y=10.210000,8,2,21.300000000008367,2.662500000001046,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=2.360000:y=11.110000,1,1,2.4833333333333556,2.4833333333333556,2.4833333333333556,0.0,A001
entropy_based,pick_node,AISLE:x=2.360000:y=9.310000,1,1,2.116666666661331,2.116666666661331,2.116666666661331,0.0,A001
entropy_based,pick_node,AISLE:x=2.680000:y=10.210000,7,4,19.433333333332484,2.776190476190355,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=2.860000:y=10.210000,5,3,11.800000000001091,2.3600000000002184,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=2.860000:y=8.410000,5,2,14.183333333333053,2.8366666666666105,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=3.020000:y=10.210000,4,2,9.683333333334303,2.420833333333576,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=3.020000:y=8.410000,5,3,13.166666666666941,2.6333333333333884,3.0333333333335304,0.0,A001
entropy_based,pick_node,AISLE:x=3.180000:y=8.410000,3,2,6.399999999999636,2.133333333333212,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=3.680000:y=12.010000,2,2,5.216666666666697,2.6083333333333485,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=3.680000:y=12.910000,3,2,6.983333333333576,2.3277777777778588,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=3.680000:y=8.410000,2,2,1.2833333333305745,0.6416666666652873,1.0666666666670608,0.0,A001
entropy_based,pick_node,AISLE:x=4.340000:y=11.110000,11,2,33.0,3.0,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=4.340000:y=8.410000,2,2,6.75,3.375,4.5,0.0,A001
entropy_based,pick_node,AISLE:x=4.500000:y=11.110000,2,2,6.0,3.0,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=4.660000:y=8.410000,1,1,0.8833333333343489,0.8833333333343489,0.8833333333343489,0.0,A001
entropy_based,pick_node,AISLE:x=4.840000:y=11.110000,1,1,0.8666666666659921,0.8666666666659921,0.8666666666659921,0.0,A001
entropy_based,pick_node,AISLE:x=5.000000:y=7.510000,2,2,5.799999999999272,2.899999999999636,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=5.340000:y=7.510000,2,2,3.5,1.75,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=5.840000:y=11.110000,4,3,9.683333333345217,2.4208333333363043,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=5.840000:y=6.310000,4,2,9.666666666666629,2.416666666666657,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=5.840000:y=8.410000,2,2,4.049999999995634,2.024999999997817,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=6.000000:y=8.410000,2,2,4.866666666664969,2.4333333333324845,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=6.160000:y=11.110000,6,3,13.983333333352448,2.330555555558741,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=6.500000:y=11.110000,13,4,35.4833333333346,2.729487179487277,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=6.660000:y=11.110000,1,1,2.4500000000007276,2.4500000000007276,2.4500000000007276,0.0,A001
entropy_based,pick_node,AISLE:x=6.660000:y=7.510000,1,1,1.6000000000021828,1.6000000000021828,1.6000000000021828,0.0,A001
