selected_date,entropy_weight,allocation_id,worker_counts,reused_allocation,D_demand_mismatch,R_congestion_risk,J_objective,moved_workers_from_volume,observed_workers,effective_workers,seed,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
2023-01-05,0.0,A001,3|2|1|2,False,0.04108216432865733,0.8089658983634359,0.04108216432865733,0,8,8,42,8,4,4,0.9528195311147832,0.04108216432865733,85,1996,1996.0,8053.120799999936,11512,6710.933999999673,313,239,74,512.7500000002256,1.6381789137387397,3.8156666666705794,17.780000000006112,0.07098178713247047,351.94017254901854,938.6789999999874,507.37174901960555,15476.23666666664,455,0.9327194621256241,0.9823781371924976,0.0,1.0,0.2682260596546311,0.03773584905660377,622,214.6558333332944,7,15476.23666666664
2023-01-05,0.05,A001,3|2|1|2,True,0.04108216432865733,0.8089658983634359,0.08153045924682913,0,8,8,42,8,4,4,0.9528195311147832,0.04108216432865733,85,1996,1996.0,8053.120799999936,11512,6710.933999999673,313,239,74,512.7500000002256,1.6381789137387397,3.8156666666705794,17.780000000006112,0.07098178713247047,351.94017254901854,938.6789999999874,507.37174901960555,15476.23666666664,455,0.9327194621256241,0.9823781371924976,0.0,1.0,0.2682260596546311,0.03773584905660377,622,214.6558333332944,7,15476.23666666664
2023-01-05,0.1,A001,3|2|1|2,True,0.04108216432865733,0.8089658983634359,0.12197875416500092,0,8,8,42,8,4,4,0.9528195311147832,0.04108216432865733,85,1996,1996.0,8053.120799999936,11512,6710.933999999673,313,239,74,512.7500000002256,1.6381789137387397,3.8156666666705794,17.780000000006112,0.07098178713247047,351.94017254901854,938.6789999999874,507.37174901960555,15476.23666666664,455,0.9327194621256241,0.9823781371924976,0.0,1.0,0.2682260596546311,0.03773584905660377,622,214.6558333332944,7,15476.23666666664
2023-01-05,0.25,A001,3|2|1|2,True,0.04108216432865733,0.8089658983634359,0.2433236389195163,0,8,8,42,8,4,4,0.9528195311147832,0.04108216432865733,85,1996,1996.0,8053.120799999936,11512,6710.933999999673,313,239,74,512.7500000002256,1.6381789137387397,3.8156666666705794,17.780000000006112,0.07098178713247047,351.94017254901854,938.6789999999874,507.37174901960555,15476.23666666664,455,0.9327194621256241,0.9823781371924976,0.0,1.0,0.2682260596546311,0.03773584905660377,622,214.6558333332944,7,15476.23666666664
2023-01-05,0.5,A002,3|2|2|1,False,0.16382765531062127,0.49523021801353784,0.4114427643173902,1,8,8,42,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
2023-01-05,0.75,A002,3|2|2|1,True,0.16382765531062127,0.49523021801353784,0.5352503188207747,1,8,8,42,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
2023-01-05,1.0,A002,3|2|2|1,True,0.16382765531062127,0.49523021801353784,0.6590578733241591,1,8,8,42,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
2023-01-05,2.0,A002,3|2|2|1,True,0.16382765531062127,0.49523021801353784,1.154288091337697,1,8,8,42,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
2023-01-05,4.0,A002,3|2|2|1,True,0.16382765531062127,0.49523021801353784,2.1447485273647726,1,8,8,42,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
2023-01-05,8.0,A002,3|2|2|1,True,0.16382765531062127,0.49523021801353784,4.125669399418924,1,8,8,42,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
2023-01-06,0.0,A001,4|1|1|2,False,0.056610407876230694,0.7261038471913306,0.056610407876230694,0,8,8,42,8,4,4,0.875,0.056610407876230694,65,1422,1422.0,5715.914399999974,8078,4763.262000000003,212,167,45,314.634999999977,1.4841273584904577,3.0,7.61999999999999,0.06196167429153805,492.6014307692269,1165.1366666666613,636.3536923076882,1374.225666666669,275,0.9795527408691801,0.9903566313934725,0.0,1.0,0.18846753246753248,0.028830752802989856,606,122.98933333332661,3,1374.225666666669
2023-01-06,0.05,A001,4|1|1|2,True,0.056610407876230694,0.7261038471913306,0.09291560023579723,0,8,8,42,8,4,4,0.875,0.056610407876230694,65,1422,1422.0,5715.914399999974,8078,4763.262000000003,212,167,45,314.634999999977,1.4841273584904577,3.0,7.61999999999999,0.06196167429153805,492.6014307692269,1165.1366666666613,636.3536923076882,1374.225666666669,275,0.9795527408691801,0.9903566313934725,0.0,1.0,0.18846753246753248,0.028830752802989856,606,122.98933333332661,3,1374.225666666669
2023-01-06,0.1,A001,4|1|1|2,True,0.056610407876230694,0.7261038471913306,0.12922079259536376,0,8,8,42,8,4,4,0.875,0.056610407876230694,65,1422,1422.0,5715.914399999974,8078,4763.262000000003,212,167,45,314.634999999977,1.4841273584904577,3.0,7.61999999999999,0.06196167429153805,492.6014307692269,1165.1366666666613,636.3536923076882,1374.225666666669,275,0.9795527408691801,0.9903566313934725,0.0,1.0,0.18846753246753248,0.028830752802989856,606,122.98933333332661,3,1374.225666666669
2023-01-06,0.25,A001,4|1|1|2,True,0.056610407876230694,0.7261038471913306,0.23813636967406335,0,8,8,42,8,4,4,0.875,0.056610407876230694,65,1422,1422.0,5715.914399999974,8078,4763.262000000003,212,167,45,314.634999999977,1.4841273584904577,3.0,7.61999999999999,0.06196167429153805,492.6014307692269,1165.1366666666613,636.3536923076882,1374.225666666669,275,0.9795527408691801,0.9903566313934725,0.0,1.0,0.18846753246753248,0.028830752802989856,606,122.98933333332661,3,1374.225666666669
2023-01-06,0.5,A002,4|1|2|1,False,0.18161040787623067,0.2581043374854157,0.31066257661893854,1,8,8,42,8,4,4,0.875,0.18161040787623067,65,1422,1422.0,5715.914400000022,8078,4763.261999999969,143,120,23,199.0630000000173,1.3920489510490721,3.0,10.159999999999982,0.04011486551163373,654.9832589743583,2468.1483333333276,796.9574897435888,2677.2373333333185,536,0.47330159421605994,0.9909752128898754,0.0,1.0,0.6150963930348259,0.018378378378378378,609,68.18249999999998,4,2677.2373333333185
2023-01-06,0.75,A002,4|1|2|1,True,0.18161040787623067,0.2581043374854157,0.37518866099029247,1,8,8,42,8,4,4,0.875,0.18161040787623067,65,1422,1422.0,5715.914400000022,8078,4763.261999999969,143,120,23,199.0630000000173,1.3920489510490721,3.0,10.159999999999982,0.04011486551163373,654.9832589743583,2468.1483333333276,796.9574897435888,2677.2373333333185,536,0.47330159421605994,0.9909752128898754,0.0,1.0,0.6150963930348259,0.018378378378378378,609,68.18249999999998,4,2677.2373333333185
2023-01-06,1.0,A002,4|1|2|1,True,0.18161040787623067,0.2581043374854157,0.4397147453616464,1,8,8,42,8,4,4,0.875,0.18161040787623067,65,1422,1422.0,5715.914400000022,8078,4763.261999999969,143,120,23,199.0630000000173,1.3920489510490721,3.0,10.159999999999982,0.04011486551163373,654.9832589743583,2468.1483333333276,796.9574897435888,2677.2373333333185,536,0.47330159421605994,0.9909752128898754,0.0,1.0,0.6150963930348259,0.018378378378378378,609,68.18249999999998,4,2677.2373333333185
2023-01-06,2.0,A002,4|1|2|1,True,0.18161040787623067,0.2581043374854157,0.6978190828470621,1,8,8,42,8,4,4,0.875,0.18161040787623067,65,1422,1422.0,5715.914400000022,8078,4763.261999999969,143,120,23,199.0630000000173,1.3920489510490721,3.0,10.159999999999982,0.04011486551163373,654.9832589743583,2468.1483333333276,796.9574897435888,2677.2373333333185,536,0.47330159421605994,0.9909752128898754,0.0,1.0,0.6150963930348259,0.018378378378378378,609,68.18249999999998,4,2677.2373333333185
2023-01-06,4.0,A002,4|1|2|1,True,0.18161040787623067,0.2581043374854157,1.2140277578178935,1,8,8,42,8,4,4,0.875,0.18161040787623067,65,1422,1422.0,5715.914400000022,8078,4763.261999999969,143,120,23,199.0630000000173,1.3920489510490721,3.0,10.159999999999982,0.04011486551163373,654.9832589743583,2468.1483333333276,796.9574897435888,2677.2373333333185,536,0.47330159421605994,0.9909752128898754,0.0,1.0,0.6150963930348259,0.018378378378378378,609,68.18249999999998,4,2677.2373333333185
2023-01-06,8.0,A003,3|1|3|1,False,0.3066104078762307,0.2387331899929137,2.2164759278195403,2,8,8,42,8,4,4,0.9056390622295665,0.3066104078762307,65,1422,1422.0,5715.914400000008,8078,4763.262000000047,109,90,19,141.60999999999714,1.2991743119265793,3.0,10.159999999999982,0.02887129368513508,732.7154179487194,2457.935000000004,873.8057564102586,2667.023999999995,534,0.6052047165882728,0.9943979035635006,0.0,1.0,0.5290284465846263,0.012506797172376292,607,51.83650000000406,4,2667.023999999995
2023-01-09,0.0,A001,1|1|4|1,False,0.12156767872263213,2.6003437896745316,0.12156767872263213,0,7,7,42,7,4,4,0.8322488896002307,0.12156767872263213,55,1181,1181.0,4624.222400000002,6482,3853.518666666696,148,95,53,296.3396666665566,2.0022950450443013,6.0,12.699999999999994,0.07140958627099214,284.5001424242394,1152.912999999999,424.37029393938934,17051.38566666669,458,0.5339186972432624,0.9742420850096182,0.0,1.0,0.5903826159284674,0.05181347150259067,552,156.27666666664345,5,17051.38566666669
