reference_entropy_weight,entropy_weight,metric,direction,n_dates,reference_mean,candidate_mean,mean_difference_candidate_minus_reference,mean_improvement_pct,wins,ties,losses,wilcoxon_p_value
0.0,0.0,mean_flow_time_seconds,minimize,92,319.38077310610527,319.38077310610527,0.0,0.0,0,92,0,1.0
0.0,0.05,mean_flow_time_seconds,minimize,92,319.38077310610527,319.3723693218855,-0.008403784219809203,-0.002727464908219105,1,89,2,1.0
0.0,0.1,mean_flow_time_seconds,minimize,92,319.38077310610527,319.4696428030325,0.08886969692718863,-0.015293701431456079,2,86,4,0.7531523647659145
0.0,0.25,mean_flow_time_seconds,minimize,92,319.38077310610527,321.2287195211439,1.8479464150385991,-0.6447711134132765,5,74,13,0.0176206611104818
0.0,0.5,mean_flow_time_seconds,minimize,92,319.38077310610527,322.10729344705584,2.7265203409505174,-0.9332688068759115,7,67,18,0.004530067617866383
0.0,0.75,mean_flow_time_seconds,minimize,92,319.38077310610527,324.88315162101685,5.502378514911577,-1.8107453094625958,7,57,28,4.864835329454715e-05
0.0,1.0,mean_flow_time_seconds,minimize,92,319.38077310610527,328.36503441352676,8.984261307421493,-2.7942055108821124,7,50,35,1.3471667879165376e-06
0.0,2.0,mean_flow_time_seconds,minimize,92,319.38077310610527,345.7568692582166,26.37609615211128,-7.970079193452213,4,27,61,1.3154727319209531e-11
0.0,4.0,mean_flow_time_seconds,minimize,92,319.38077310610527,359.92555160778915,40.544778501683815,-12.083886237168574,2,23,67,1.0490408942546125e-12
0.0,8.0,mean_flow_time_seconds,minimize,92,319.38077310610527,369.8086333290355,50.427860222930114,-14.689964469445323,2,21,69,4.792638531311954e-13
0.0,0.0,makespan_seconds,minimize,92,13470.359239130554,13470.359239130554,0.0,0.0,0,92,0,1.0
0.0,0.05,makespan_seconds,minimize,92,13470.359239130554,13470.909057971134,0.549818840579183,-0.005242820033468299,1,89,2,1.0
0.0,0.1,makespan_seconds,minimize,92,13470.359239130554,13466.661775362438,-3.697463768118869,0.18598649237715897,4,86,2,0.24886387493792206
0.0,0.25,makespan_seconds,minimize,92,13470.359239130554,13457.365217391416,-12.994021739141186,0.2402800757770783,9,76,7,0.25529050519961505
0.0,0.5,makespan_seconds,minimize,92,13470.359239130554,13463.034239130546,-7.32500000001042,-0.39405946298871614,10,70,12,0.8838460571465129
0.0,0.75,makespan_seconds,minimize,92,13470.359239130554,13467.160960145036,-3.198278985520342,-0.7689989090471522,13,61,18,0.6241950204767168
0.0,1.0,makespan_seconds,minimize,92,13470.359239130554,13481.841032608807,11.481793478250482,-2.3042408073307707,12,54,26,0.060375050361956256
0.0,2.0,makespan_seconds,minimize,92,13470.359239130554,13525.337228260987,54.9779891304318,-5.174422814008374,13,36,43,0.00013480231215820226
0.0,4.0,makespan_seconds,minimize,92,13470.359239130554,13554.69646739142,84.33722826086391,-5.498093720430289,11,31,50,9.191685547768935e-06
0.0,8.0,makespan_seconds,minimize,92,13470.359239130554,13576.604257246492,106.24501811593888,-7.554779112925113,11,29,52,1.9547949283469584e-06
0.0,0.0,congestion_wait_seconds,minimize,92,337.6165760869408,337.6165760869408,0.0,0.0,0,92,0,1.0
0.0,0.05,congestion_wait_seconds,minimize,92,337.6165760869408,337.79501811591274,0.17844202897189376,-0.16181086692510227,1,89,2,0.5929800980174267
0.0,0.1,congestion_wait_seconds,minimize,92,337.6165760869408,336.7924818840284,-0.8240942029124341,0.11241932914966891,3,86,3,0.916511907863894
0.0,0.25,congestion_wait_seconds,minimize,92,337.6165760869408,331.4704710144723,-6.146105072468565,0.37056342569188294,10,74,8,0.15695518862262656
0.0,0.5,congestion_wait_seconds,minimize,92,337.6165760869408,326.8410326086759,-10.775543478264915,1.283059505440242,14,67,11,0.05108666110389699
0.0,0.75,congestion_wait_seconds,minimize,92,337.6165760869408,327.7409420289685,-9.875634057972345,2.2898769677518085,20,57,15,0.0690511620712648
0.0,1.0,congestion_wait_seconds,minimize,92,337.6165760869408,324.85063405796313,-12.765942028977758,3.42832155458092,25,50,17,0.025621310195009697
0.0,2.0,congestion_wait_seconds,minimize,92,337.6165760869408,316.3783514492647,-21.238224637676165,2.9902356047248557,41,27,24,0.002852532020213033
0.0,4.0,congestion_wait_seconds,minimize,92,337.6165760869408,275.02672101447786,-62.58985507246307,7.518844110243554,50,23,19,1.5200156330074452e-05
0.0,8.0,congestion_wait_seconds,minimize,92,337.6165760869408,272.62780797099515,-64.9887681159457,9.089774347953202,53,21,18,2.8509496465952697e-06
0.0,0.0,congestion_conflicts,minimize,92,172.09782608695653,172.09782608695653,0.0,0.0,0,92,0,1.0
0.0,0.05,congestion_conflicts,minimize,92,172.09782608695653,172.05434782608697,-0.043478260869565216,0.054008783026935035,1,89,2,1.0
0.0,0.1,congestion_conflicts,minimize,92,172.09782608695653,171.66304347826087,-0.43478260869565216,0.29987650259931703,2,86,4,0.9162824413291019
0.0,0.25,congestion_conflicts,minimize,92,172.09782608695653,170.30434782608697,-1.7934782608695652,0.6914012554295618,9,74,9,0.22235944075862857
0.0,0.5,congestion_conflicts,minimize,92,172.09782608695653,168.22826086956522,-3.869565217391304,1.6845522174511867,15,67,10,0.019199062455023175
0.0,0.75,congestion_conflicts,minimize,92,172.09782608695653,166.8804347826087,-5.217391304347826,3.1873444561875983,23,57,12,0.006061664678579715
0.0,1.0,congestion_conflicts,minimize,92,172.09782608695653,165.1195652173913,-6.978260869565218,4.520949744626658,31,50,11,0.00033962512767613396
0.0,2.0,congestion_conflicts,minimize,92,172.09782608695653,159.72826086956522,-12.369565217391305,6.984307064548419,52,27,13,1.1974048259447134e-06
0.0,4.0,congestion_conflicts,minimize,92,172.09782608695653,152.05434782608697,-20.043478260869566,9.5797098023907,55,23,14,1.622628064628771e-07
0.0,8.0,congestion_conflicts,minimize,92,172.09782608695653,149.42391304347825,-22.67391304347826,11.151230581329285,57,21,14,4.583147569053785e-08
0.0,0.0,total_distance_m,minimize,92,2195.6293478260945,2195.6293478260945,0.0,0.0,0,92,0,1.0
0.0,0.05,total_distance_m,minimize,92,2195.6293478260945,2195.6293478260945,-6.178632484870436e-14,3.3525806036276933e-15,2,90,0,0.10880943004054568
0.0,0.1,total_distance_m,minimize,92,2195.6293478260945,2195.629347826095,1.3345846167320144e-13,-3.2137956827128432e-15,2,88,2,0.6001794871405538
0.0,0.25,total_distance_m,minimize,92,2195.6293478260945,2195.629347826095,3.583606841224853e-13,-1.476435144193406e-14,6,77,9,0.20057230551198435
0.0,0.5,total_distance_m,minimize,92,2195.6293478260945,2195.6293478260945,8.526512829121202e-14,-1.0496243424151895e-14,7,73,12,0.18794537627051955
0.0,0.75,total_distance_m,minimize,92,2195.6293478260945,2195.6293478260936,-4.2014700897118967e-13,1.428973645032503e-15,10,68,14,0.4946703979269287
0.0,1.0,total_distance_m,minimize,92,2195.6293478260945,2195.629347826093,-1.118332479761549e-12,1.9857849307378468e-14,12,61,19,0.49393114555142326
0.0,2.0,total_distance_m,minimize,92,2195.6293478260945,2195.629347826092,-2.8013919686402558e-12,4.488127077639968e-14,19,43,30,0.5354759696729139
0.0,4.0,total_distance_m,minimize,92,2195.6293478260945,2195.6293478260927,-1.880775728394561e-12,3.6167590809131346e-14,23,35,34,0.9592384950404749
0.0,8.0,total_distance_m,minimize,92,2195.6293478260945,2195.629347826092,-2.9027215413921312e-12,5.891385593656553e-14,25,31,36,0.9829360391929262
0.0,0.0,mean_release_delay_seconds,minimize,92,213.06460889348432,213.06460889348432,0.0,0.0,0,92,0,1.0
0.0,0.05,mean_release_delay_seconds,minimize,92,213.06460889348432,213.05293543333906,-0.01167346014525937,-0.029891313658733456,2,89,1,0.5929800980174267
0.0,0.1,mean_release_delay_seconds,minimize,92,213.06460889348432,213.17426901921317,0.1096601257288932,-0.05151083345718945,3,86,3,0.916511907863894
0.0,0.25,mean_release_delay_seconds,minimize,92,213.06460889348432,214.99240037191922,1.9277914784349217,-1.1615458377894732,6,74,12,0.015647093863347505
0.0,0.5,mean_release_delay_seconds,minimize,92,213.06460889348432,215.96624965454782,2.9016407610634944,-1.417168951169818,8,67,17,0.002946991454331304
0.0,0.75,mean_release_delay_seconds,minimize,92,213.06460889348432,218.75766878727092,5.69305989378662,-3.139515549020943,8,57,27,2.3807341815615703e-05
0.0,1.0,mean_release_delay_seconds,minimize,92,213.06460889348432,222.2972040071912,9.232595113706918,-4.706451246891838,7,50,35,6.269988721652848e-07
0.0,2.0,mean_release_delay_seconds,minimize,92,213.06460889348432,239.80692906085218,26.742320167367854,-18.96825832539137,4,27,61,7.985352007288132e-12
0.0,4.0,mean_release_delay_seconds,minimize,92,213.06460889348432,254.53687806578748,41.47226917230313,-28.36505596030467,2,23,67,8.8160173657594e-13
0.0,8.0,mean_release_delay_seconds,minimize,92,213.06460889348432,264.443922696165,51.37931380268067,-32.290807974971,2,21,69,4.047233048463143e-13
0.0,0.0,mean_spatial_entropy_normalized,maximize,92,0.8269412949194622,0.8269412949194622,0.0,0.0,0,92,0,1.0
