entropy_weight,metric,direction,n_dates,mean,std,median,min,max
0.0,mean_flow_time_seconds,minimize,92,440.88618899625766,259.4114730827647,372.85892379920955,145.71864285715367,1600.0943483334484
0.0,makespan_seconds,minimize,92,13697.849826087038,11548.091656409151,14187.84324999999,601.8706666666623,43905.37566666673
0.0,congestion_wait_seconds,minimize,92,320.79611956521904,480.1042163383954,189.05366666668556,20.12983333333348,2902.1454999984667
0.0,congestion_conflicts,minimize,92,146.54347826086956,142.95226384083364,99.5,19.0,880.0
0.0,total_distance_m,minimize,92,3885.9211521739085,1964.9008412537703,3542.2332000000015,931.4688000000002,12250.927999999765
0.0,mean_release_delay_seconds,minimize,92,305.92502253628766,257.7274228734512,239.68208741258638,12.771619047621284,1464.683087500088
0.0,mean_spatial_entropy_normalized,maximize,92,0.82031836598829,0.13279072039029202,0.8509986090734964,0.5046831694790702,0.9923878172184759
0.05,mean_flow_time_seconds,minimize,92,440.95097929050456,259.34785674654523,372.85892379920955,145.71864285715367,1600.0943483334484
0.05,makespan_seconds,minimize,92,13698.510130434865,11548.34972488359,14187.84324999999,601.8706666666623,43905.37566666673
0.05,congestion_wait_seconds,minimize,92,320.8687427536258,480.0674188714776,189.05366666668556,20.12983333333348,2902.1454999984667
0.05,congestion_conflicts,minimize,92,146.56521739130434,142.9381872358884,99.5,19.0,880.0
0.05,total_distance_m,minimize,92,3885.9211521739085,1964.9008412537703,3542.2332000000015,931.4688000000002,12250.927999999765
0.05,mean_release_delay_seconds,minimize,92,305.9876121278555,257.6659447230765,239.68208741258638,12.771619047621284,1464.683087500088
0.05,mean_spatial_entropy_normalized,maximize,92,0.8201269634711759,0.1326913439659672,0.8509986090734964,0.5046831694790702,0.9923878172184759
0.1,mean_flow_time_seconds,minimize,92,440.6014757150208,259.03288367721933,372.85892379920955,145.71864285715367,1600.0943483334484
0.1,makespan_seconds,minimize,92,13709.359913043561,11549.395488989583,14187.84324999999,601.8706666666623,43905.37566666673
0.1,congestion_wait_seconds,minimize,92,322.3871503623221,479.38123009978716,192.18316666668727,20.12983333333348,2902.1454999984667
0.1,congestion_conflicts,minimize,92,147.15217391304347,142.54730734176286,99.5,19.0,880.0
0.1,total_distance_m,minimize,92,3885.921152173909,1964.9008412537703,3542.2332000000015,931.4688000000002,12250.927999999765
0.1,mean_release_delay_seconds,minimize,92,305.6028401827008,257.33050039081724,239.68208741258638,12.771619047621284,1464.683087500088
0.1,mean_spatial_entropy_normalized,maximize,92,0.8193223383586722,0.13517186303470685,0.8509986090734964,0.47422132754602603,0.9923878172184759
0.25,mean_flow_time_seconds,minimize,92,441.1468021479133,259.45930198882076,372.85892379920955,145.71864285715367,1600.0943483334484
0.25,makespan_seconds,minimize,92,13712.580981884139,11547.564624118093,14187.84324999999,601.8706666666623,43905.37566666673
0.25,congestion_wait_seconds,minimize,92,322.36560144927705,479.2525507636272,192.18316666668727,20.12983333333348,2902.1454999984667
0.25,congestion_conflicts,minimize,92,147.22826086956522,142.21135047363694,99.5,19.0,880.0
0.25,total_distance_m,minimize,92,3885.9211521739085,1964.90084125377,3542.2332000000015,931.4688000000002,12250.927999999765
0.25,mean_release_delay_seconds,minimize,92,306.14610654255057,257.77653012647556,239.68208741258638,12.771619047621284,1464.683087500088
0.25,mean_spatial_entropy_normalized,maximize,92,0.8213720454898129,0.13573969770308095,0.8509986090734964,0.47422132754602603,0.9923878172184759
0.5,mean_flow_time_seconds,minimize,92,441.4093623601477,259.04502253138565,372.85892379920955,145.71864285715367,1600.0943483334484
0.5,makespan_seconds,minimize,92,13717.071548913127,11544.689130741499,14227.155749999985,601.8706666666623,43905.37566666673
0.5,congestion_wait_seconds,minimize,92,319.84452898550944,478.0253560659568,187.2501666666985,20.12983333333348,2902.1454999984667
0.5,congestion_conflicts,minimize,92,146.25,140.70963204219728,99.5,19.0,880.0
0.5,total_distance_m,minimize,92,3885.9211521739085,1964.9008412537698,3542.2332000000015,931.4688000000002,12250.927999999765
0.5,mean_release_delay_seconds,minimize,92,306.46008740924856,257.3371857426073,239.68208741258638,12.771619047621284,1464.683087500088
0.5,mean_spatial_entropy_normalized,maximize,92,0.8173936582205021,0.13596766595596788,0.8450420655155961,0.47422132754602603,0.9923878172184759
0.75,mean_flow_time_seconds,minimize,92,442.35948976573565,258.83129804599184,372.85892379920955,145.71864285715367,1600.0943483334484
0.75,makespan_seconds,minimize,92,13723.37873550733,11541.267281404924,14227.155749999985,601.8706666666623,43905.37566666673
0.75,congestion_wait_seconds,minimize,92,321.3267681159427,480.37339584125635,187.2501666666985,20.12983333333348,2902.1454999984667
0.75,congestion_conflicts,minimize,92,145.7826086956522,140.69238723572414,99.5,19.0,880.0
0.75,total_distance_m,minimize,92,3885.9211521739085,1964.9008412537703,3542.2332000000015,931.4688000000002,12250.927999999765
0.75,mean_release_delay_seconds,minimize,92,307.3486101674006,257.17175001759375,239.68208741258638,12.771619047621284,1464.683087500088
