cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,entropy_weight,allocation_id
EDGE:AISLE:x=1.180000:y=6.310000<->AISLE:x=1.360000:y=6.310000,edge,8,5,1.1999999999994486,1.1999999999994486,0.0,0.0,1.1999999999994486,0.0,1,0.0,A001
EDGE:AISLE:x=1.180000:y=7.510000<->AISLE:x=1.360000:y=7.510000,edge,12,8,1.799999999996004,1.799999999996004,0.0,0.0,1.799999999996004,0.0,1,0.0,A001
EDGE:AISLE:x=1.180000:y=8.410000<->AISLE:x=1.360000:y=8.410000,edge,21,7,3.1499999999968225,3.1499999999968225,0.0,0.0,3.1499999999968225,0.0,1,0.0,A001
EDGE:AISLE:x=1.180000:y=9.310000<->AISLE:x=1.360000:y=9.310000,edge,32,8,4.799999999994412,4.799999999994412,0.0,0.0,4.799999999994412,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=10.210000<->AISLE:x=1.520000:y=10.210000,edge,20,7,2.666666666665492,2.666666666665492,0.0,0.0,2.666666666665492,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=11.110000<->AISLE:x=1.520000:y=11.110000,edge,23,8,3.0666666666656397,3.0666666666656397,0.0,0.0,3.0666666666656397,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=12.010000<->AISLE:x=1.520000:y=12.010000,edge,20,6,2.666666666665961,2.666666666665961,0.0,0.0,2.666666666665961,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=12.910000<->AISLE:x=1.520000:y=12.910000,edge,23,7,3.0666666666659665,3.0666666666659665,0.0,0.0,3.0666666666659665,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=13.810000<->AISLE:x=1.520000:y=13.810000,edge,11,4,1.4666666666662422,1.4666666666662422,0.0,0.0,1.4666666666662422,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=6.310000<->AISLE:x=1.520000:y=6.310000,edge,6,4,0.7999999999997414,0.7999999999997414,0.0,0.0,0.7999999999997414,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=7.510000<->AISLE:x=1.520000:y=7.510000,edge,12,8,1.5999999999986585,1.5999999999986585,0.0,0.0,1.5999999999986585,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=8.410000<->AISLE:x=1.520000:y=8.410000,edge,23,7,3.066666666665725,3.066666666665725,0.0,0.0,3.066666666665725,0.0,1,0.0,A001
EDGE:AISLE:x=1.360000:y=9.310000<->AISLE:x=1.520000:y=9.310000,edge,28,8,3.7333333333314727,3.7333333333314727,0.0,0.0,3.7333333333314727,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=10.210000<->AISLE:x=1.680000:y=10.210000,edge,24,7,3.199999999998795,3.199999999998795,0.0,0.0,3.199999999998795,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=11.110000<->AISLE:x=1.680000:y=11.110000,edge,21,8,2.799999999998988,2.799999999998988,0.0,0.0,2.799999999998988,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=12.010000<->AISLE:x=1.680000:y=12.010000,edge,22,6,2.9333333333326124,2.9333333333326124,0.0,0.0,2.9333333333326124,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=12.910000<->AISLE:x=1.680000:y=12.910000,edge,25,7,3.3333333333326323,3.3333333333326323,0.0,0.0,3.3333333333326323,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=13.810000<->AISLE:x=1.680000:y=13.810000,edge,13,5,1.7333333333326664,1.7333333333326664,0.0,0.0,1.7333333333326664,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=6.310000<->AISLE:x=1.680000:y=6.310000,edge,14,5,1.86666666666612,1.86666666666612,0.0,0.0,1.86666666666612,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=7.510000<->AISLE:x=1.680000:y=7.510000,edge,12,8,1.5999999999986585,1.5999999999986585,0.0,0.0,1.5999999999986585,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=8.410000<->AISLE:x=1.680000:y=8.410000,edge,21,6,2.7999999999990735,2.7999999999990735,0.0,0.0,2.7999999999990735,0.0,1,0.0,A001
EDGE:AISLE:x=1.520000:y=9.310000<->AISLE:x=1.680000:y=9.310000,edge,24,7,3.1999999999986244,3.1999999999986244,0.0,0.0,3.1999999999986244,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=10.210000<->AISLE:x=1.860000:y=10.210000,edge,26,7,3.8999999999957993,3.8999999999957993,0.0,0.0,3.8999999999957993,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=11.110000<->AISLE:x=1.860000:y=11.110000,edge,23,8,3.449999999996237,3.449999999996237,0.0,0.0,3.449999999996237,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=12.010000<->AISLE:x=1.860000:y=12.010000,edge,24,6,3.5999999999978343,3.5999999999978343,0.0,0.0,3.5999999999978343,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=12.910000<->AISLE:x=1.860000:y=12.910000,edge,25,7,3.7499999999976836,3.7499999999976836,0.0,0.0,3.7499999999976836,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=13.810000<->AISLE:x=1.860000:y=13.810000,edge,15,5,2.2499999999973284,2.2499999999973284,0.0,0.0,2.2499999999973284,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=6.310000<->AISLE:x=1.860000:y=6.310000,edge,16,5,2.3999999999984567,2.3999999999984567,0.0,0.0,2.3999999999984567,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=7.510000<->AISLE:x=1.860000:y=7.510000,edge,12,8,1.799999999996004,1.799999999996004,0.0,0.0,1.799999999996004,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=8.410000<->AISLE:x=1.860000:y=8.410000,edge,25,6,3.74999999999676,3.74999999999676,0.0,0.0,3.74999999999676,0.0,1,0.0,A001
EDGE:AISLE:x=1.680000:y=9.310000<->AISLE:x=1.860000:y=9.310000,edge,24,7,3.5999999999959016,3.5999999999959016,0.0,0.0,3.5999999999959016,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=10.210000<->AISLE:x=2.020000:y=10.210000,edge,24,7,3.1999999999985675,3.1999999999985675,0.0,0.0,3.1999999999985675,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=11.110000<->AISLE:x=2.020000:y=11.110000,edge,27,8,3.5999999999985164,3.5999999999985164,0.0,0.0,3.5999999999985164,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=12.010000<->AISLE:x=2.020000:y=12.010000,edge,20,5,2.666666666665961,2.666666666665961,0.0,0.0,2.666666666665961,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=12.910000<->AISLE:x=2.020000:y=12.910000,edge,23,7,3.0666666666659808,3.0666666666659808,0.0,0.0,3.0666666666659808,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=13.810000<->AISLE:x=2.020000:y=13.810000,edge,17,6,2.2666666666655146,2.2666666666655146,0.0,0.0,2.2666666666655146,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=6.310000<->AISLE:x=2.020000:y=6.310000,edge,20,6,2.6666666666660888,2.6666666666660888,0.0,0.0,2.6666666666660888,0.0,1,0.0,A001
EDGE:AISLE:x=1.860000:y=7.510000<->AISLE:x=2.020000:y=7.510000,edge,14,8,1.8666666666650826,1.8666666666650826,0.0,0.0,1.8666666666650826,0.0,1,0.0,A001
