selected_date,entropy_weight,allocation_id,zone_id,workload,workload_share,workers,worker_share
2023-01-09,0.05,A001,Z04,0.0,0.0,0,0.0
2023-01-09,0.1,A001,Z01,0.0,0.0,0,0.0
2023-01-09,0.1,A001,Z02,42.0,0.03556308213378493,1,0.14285714285714285
2023-01-09,0.1,A001,Z03,1139.0,0.9644369178662151,6,0.8571428571428571
2023-01-09,0.1,A001,Z04,0.0,0.0,0,0.0
2023-01-09,0.25,A001,Z01,0.0,0.0,0,0.0
2023-01-09,0.25,A001,Z02,42.0,0.03556308213378493,1,0.14285714285714285
2023-01-09,0.25,A001,Z03,1139.0,0.9644369178662151,6,0.8571428571428571
2023-01-09,0.25,A001,Z04,0.0,0.0,0,0.0
2023-01-09,0.5,A001,Z01,0.0,0.0,0,0.0
2023-01-09,0.5,A001,Z02,42.0,0.03556308213378493,1,0.14285714285714285
2023-01-09,0.5,A001,Z03,1139.0,0.9644369178662151,6,0.8571428571428571
2023-01-09,0.5,A001,Z04,0.0,0.0,0,0.0
2023-01-09,0.75,A001,Z01,0.0,0.0,0,0.0
2023-01-09,0.75,A001,Z02,42.0,0.03556308213378493,1,0.14285714285714285
2023-01-09,0.75,A001,Z03,1139.0,0.9644369178662151,6,0.8571428571428571
2023-01-09,0.75,A001,Z04,0.0,0.0,0,0.0
2023-01-09,1.0,A001,Z01,0.0,0.0,0,0.0
2023-01-09,1.0,A001,Z02,42.0,0.03556308213378493,1,0.14285714285714285
2023-01-09,1.0,A001,Z03,1139.0,0.9644369178662151,6,0.8571428571428571
2023-01-09,1.0,A001,Z04,0.0,0.0,0,0.0
2023-01-09,2.0,A002,Z01,0.0,0.0,0,0.0
2023-01-09,2.0,A002,Z02,42.0,0.03556308213378493,2,0.2857142857142857
2023-01-09,2.0,A002,Z03,1139.0,0.9644369178662151,5,0.7142857142857143
2023-01-09,2.0,A002,Z04,0.0,0.0,0,0.0
2023-01-09,4.0,A002,Z01,0.0,0.0,0,0.0
2023-01-09,4.0,A002,Z02,42.0,0.03556308213378493,2,0.2857142857142857
2023-01-09,4.0,A002,Z03,1139.0,0.9644369178662151,5,0.7142857142857143
2023-01-09,4.0,A002,Z04,0.0,0.0,0,0.0
2023-01-09,8.0,A003,Z01,0.0,0.0,0,0.0
2023-01-09,8.0,A003,Z02,42.0,0.03556308213378493,3,0.42857142857142855
2023-01-09,8.0,A003,Z03,1139.0,0.9644369178662151,4,0.5714285714285714
2023-01-09,8.0,A003,Z04,0.0,0.0,0,0.0
2023-01-10,0.0,A001,Z01,0.0,0.0,0,0.0
2023-01-10,0.0,A001,Z02,0.0,0.0,0,0.0
2023-01-10,0.0,A001,Z03,1016.0,0.7673716012084593,6,0.75
2023-01-10,0.0,A001,Z04,308.0,0.2326283987915408,2,0.25
2023-01-10,0.05,A001,Z01,0.0,0.0,0,0.0
2023-01-10,0.05,A001,Z02,0.0,0.0,0,0.0
2023-01-10,0.05,A001,Z03,1016.0,0.7673716012084593,6,0.75
2023-01-10,0.05,A001,Z04,308.0,0.2326283987915408,2,0.25
2023-01-10,0.1,A001,Z01,0.0,0.0,0,0.0
2023-01-10,0.1,A001,Z02,0.0,0.0,0,0.0
2023-01-10,0.1,A001,Z03,1016.0,0.7673716012084593,6,0.75
2023-01-10,0.1,A001,Z04,308.0,0.2326283987915408,2,0.25
2023-01-10,0.25,A001,Z01,0.0,0.0,0,0.0
2023-01-10,0.25,A001,Z02,0.0,0.0,0,0.0
2023-01-10,0.25,A001,Z03,1016.0,0.7673716012084593,6,0.75
2023-01-10,0.25,A001,Z04,308.0,0.2326283987915408,2,0.25
2023-01-10,0.5,A001,Z01,0.0,0.0,0,0.0
2023-01-10,0.5,A001,Z02,0.0,0.0,0,0.0
2023-01-10,0.5,A001,Z03,1016.0,0.7673716012084593,6,0.75
2023-01-10,0.5,A001,Z04,308.0,0.2326283987915408,2,0.25
2023-01-10,0.75,A002,Z01,0.0,0.0,0,0.0
2023-01-10,0.75,A002,Z02,0.0,0.0,0,0.0
2023-01-10,0.75,A002,Z03,1016.0,0.7673716012084593,5,0.625
2023-01-10,0.75,A002,Z04,308.0,0.2326283987915408,3,0.375
2023-01-10,1.0,A002,Z01,0.0,0.0,0,0.0
2023-01-10,1.0,A002,Z02,0.0,0.0,0,0.0
2023-01-10,1.0,A002,Z03,1016.0,0.7673716012084593,5,0.625
2023-01-10,1.0,A002,Z04,308.0,0.2326283987915408,3,0.375
2023-01-10,2.0,A002,Z01,0.0,0.0,0,0.0
