cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,entropy_weight,allocation_id
EDGE:AISLE:x=11.430000:y=21.361400<->AISLE:x=11.836400:y=21.361400,edge,60,8,20.319999999995176,20.319999999995176,0.0,0.0,20.319999999995176,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=23.647400<->AISLE:x=11.836400:y=23.647400,edge,14,5,4.7413333333320224,4.7413333333320224,0.0,0.0,4.7413333333320224,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=25.933400<->AISLE:x=11.836400:y=25.933400,edge,21,8,7.111999999998716,7.111999999998716,0.0,0.0,7.111999999998716,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=28.219400<->AISLE:x=11.836400:y=28.219400,edge,107,8,36.23733333332595,36.23733333332595,0.0,0.0,36.23733333332595,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=30.505400<->AISLE:x=11.836400:y=30.505400,edge,36,7,12.19199999999838,12.19199999999838,0.0,0.0,12.19199999999838,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=32.791400<->AISLE:x=11.836400:y=32.791400,edge,29,8,9.82133333333222,9.82133333333222,0.0,0.0,9.82133333333222,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=35.077400<->AISLE:x=11.836400:y=35.077400,edge,29,8,9.821333333332092,9.821333333332092,0.0,0.0,9.821333333332092,0.0,1,0.0,A001
EDGE:AISLE:x=11.430000:y=37.363400<->AISLE:x=11.836400:y=37.363400,edge,3,3,1.0159999999997353,1.0159999999997353,0.0,0.0,1.0159999999997353,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=16.027400<->AISLE:x=12.293600:y=16.027400,edge,14,5,5.333999999998753,5.333999999998753,0.0,0.0,5.333999999998753,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=19.075400<->AISLE:x=12.293600:y=19.075400,edge,51,8,19.43099999997878,19.43099999997878,0.0,0.0,19.43099999997878,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=21.361400<->AISLE:x=12.293600:y=21.361400,edge,54,8,20.57399999997935,20.57399999997935,0.0,0.0,20.57399999997935,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=23.647400<->AISLE:x=12.293600:y=23.647400,edge,14,5,5.333999999993978,5.333999999993978,0.0,0.0,5.333999999993978,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=25.933400<->AISLE:x=12.293600:y=25.933400,edge,15,8,5.714999999995598,5.714999999995598,0.0,0.0,5.714999999995598,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=28.219400<->AISLE:x=12.293600:y=28.219400,edge,103,8,39.24299999996805,39.24299999996805,0.0,0.0,39.24299999996805,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=30.505400<->AISLE:x=12.293600:y=30.505400,edge,18,6,6.857999999996821,6.857999999996821,0.0,0.0,6.857999999996821,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=32.791400<->AISLE:x=12.293600:y=32.791400,edge,29,8,11.048999999994521,11.048999999994521,0.0,0.0,11.048999999994521,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=35.077400<->AISLE:x=12.293600:y=35.077400,edge,19,8,7.238999999997304,7.238999999997304,0.0,0.0,7.238999999997304,0.0,1,0.0,A001
EDGE:AISLE:x=11.836400:y=37.363400<->AISLE:x=12.293600:y=37.363400,edge,3,3,1.142999999998807,1.142999999998807,0.0,0.0,1.142999999998807,0.0,1,0.0,A001
EDGE:AISLE:x=12.293600:y=16.027400<->AISLE:x=12.700000:y=16.027400,edge,14,5,4.741333333333025,4.741333333333025,0.0,0.0,4.741333333333025,0.0,1,0.0,A001
EDGE:AISLE:x=12.293600:y=19.075400<->AISLE:x=12.700000:y=19.075400,edge,51,8,17.271999999995387,17.271999999995387,0.0,0.0,17.271999999995387,0.0,1,0.0,A001
EDGE:AISLE:x=12.293600:y=21.361400<->AISLE:x=12.700000:y=21.361400,edge,52,8,17.610666666662397,17.610666666662397,0.0,0.0,17.610666666662397,0.0,1,0.0,A001
