allocation_id,representative_entropy_weight,entropy_weights,candidate_count,worker_counts,method,seed,selected_date,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
A001,0.0,0|0.05|0.1|0.25,4,3|2|1|2,entropy_based,42,2023-01-05,8,4,4,0.9528195311147832,0.04108216432865733,85,1996,1996.0,8053.120799999936,11512,6710.933999999673,313,239,74,512.7500000002256,1.6381789137387397,3.8156666666705794,17.780000000006112,0.07098178713247047,351.94017254901854,938.6789999999874,507.37174901960555,15476.23666666664,455,0.9327194621256241,0.9823781371924976,0.0,1.0,0.2682260596546311,0.03773584905660377,622,214.6558333332944,7,15476.23666666664
A002,0.5,0.5|0.75|1|2|4|8,6,3|2|2|1,entropy_based,42,2023-01-05,8,4,4,0.9528195311147832,0.16382765531062127,85,1996,1996.0,8053.120800000011,11512,6710.933999999708,241,206,35,329.00700000010715,1.3651742738593657,3.0,17.780000000006112,0.04673434052929077,421.04434901960207,1371.6448333333385,574.314243137247,15801.710333333302,610,0.735098240758641,0.9876870635743856,0.0,1.0,0.42836065573770493,0.022179732313575527,623,104.46716666668178,7,15801.710333333302
