selected_date,zone_id,workload,workload_share,microzone_concentration,microzone_entropy_normalized,volume_workers,entropy_workers,worker_delta_entropy_minus_volume,volume_worker_share,entropy_worker_share,volume_abs_demand_gap,entropy_abs_demand_gap,volume_pair_risk_contribution,entropy_pair_risk_contribution
2023-07-24,Z01,374.0,0.3991462113127001,0.0407321723443573,0.9592678276556428,2,3,1,0.2857142857142857,0.42857142857142855,0.11343192559841442,0.02942521725872843,0.0407321723443573,0.12219651703307188
2023-07-24,Z02,47.0,0.0501600853788687,0.1827985039334504,0.8172014960665496,1,1,0,0.14285714285714285,0.14285714285714285,0.09269705747827414,0.09269705747827414,0.0,0.0
2023-07-24,Z03,458.0,0.4887940234791889,0.1981456538206015,0.8018543461793984,3,2,-1,0.42857142857142855,0.2857142857142857,0.06022259490776033,0.20307973776490318,0.5944369614618046,0.1981456538206015
2023-07-24,Z04,58.0,0.0618996798292422,0.0970931524865198,0.9029068475134802,1,1,0,0.14285714285714285,0.14285714285714285,0.08095746302790065,0.08095746302790065,0.0,0.0
2023-07-25,Z01,276.0,0.4169184290030212,0.1336759645983645,0.8663240354016355,1,2,1,0.2,0.4,0.21691842900302116,0.01691842900302115,0.0,0.1336759645983645
2023-07-25,Z02,32.0,0.0483383685800604,0.2691890624988442,0.7308109375011558,1,1,0,0.2,0.2,0.1516616314199396,0.1516616314199396,0.0,0.0
2023-07-25,Z03,332.0,0.5015105740181269,0.3447623148408425,0.6552376851591575,2,1,-1,0.4,0.2,0.10151057401812691,0.3015105740181269,0.3447623148408425,0.0
2023-07-25,Z04,22.0,0.0332326283987915,0.255406805536193,0.744593194463807,1,1,0,0.2,0.2,0.16676737160120852,0.16676737160120852,0.0,0.0
2023-08-10,Z01,366.0,0.6039603960396039,0.2662037003342573,0.7337962996657427,5,3,-2,0.625,0.375,0.02103960396039606,0.22896039603960394,2.6620370033425726,0.7986111010027719
2023-08-10,Z02,114.0,0.1881188118811881,0.2674401087057233,0.7325598912942767,1,2,1,0.125,0.25,0.06311881188118809,0.06188118811881191,0.0,0.2674401087057233
2023-08-10,Z03,126.0,0.2079207920792079,0.1299130982829788,0.8700869017170212,2,3,1,0.25,0.375,0.04207920792079209,0.1670792079207921,0.1299130982829788,0.38973929484893644
2023-08-10,Z04,0.0,0.0,0.0871129419106153,0.9128870580893846,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
