metric,direction,n_days,entropy_mean,volume_mean,oriented_mean_improvement_native,bootstrap_95_ci_low_native,bootstrap_95_ci_high_native,improvement_pct_from_means,wins,ties,losses,wilcoxon_statistic,wilcoxon_p_value_two_sided,holm_p_value,significant_raw_0_05,significant_holm_0_05
mean_flow_time_seconds,minimize,40,699.9097814111859,680.6074166286159,-19.302364782570066,-37.687839371305934,-4.300900549998604,-2.8360497271957743,1,32,7,1.0,0.017290280592906253,0.06916112237162501,True,False
congestion_conflicts,minimize,40,148.475,155.475,7.0,-0.4,17.15062499999999,4.502331564560219,6,32,2,6.0,0.09289194088370532,0.27867582265111596,False,False
congestion_wait_seconds,minimize,40,306.2705166666716,345.34142083333643,39.07090416666483,-1.1630250000027798,109.02309999999555,11.313703427866724,6,32,2,7.0,0.12348527214454898,0.27867582265111596,False,False
congestion_delay_ratio,minimize,40,0.07987278706266465,0.0848397141352981,0.004966927072633448,-0.0017380898238771396,0.01491892579038206,5.8544835084102775,6,32,2,9.0,0.20757844233562428,0.27867582265111596,False,False
