selected_date,method,entropy_weight,zone_id,side,support_labels,workload,workload_share,microzone_concentration,microzone_entropy_normalized,allocation_weight,pair_congestion_risk_contribution,workers,worker_share,D_demand_mismatch,R_congestion_risk,J_objective
2023-07-24,entropy_based,0.25,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,374.0,0.3991462113127001,0.04073217234435733,0.9592678276556427,,0.122196517033072,3,0.42857142857142855,0.20307973776490315,0.32034217085367356,0.28316528047832157
2023-07-24,entropy_based,0.25,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,47.0,0.05016008537886873,0.18279850393345043,0.8172014960665496,,0.0,1,0.14285714285714285,0.20307973776490315,0.32034217085367356,0.28316528047832157
2023-07-24,entropy_based,0.25,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,458.0,0.4887940234791889,0.19814565382060156,0.8018543461793984,,0.19814565382060156,2,0.2857142857142857,0.20307973776490315,0.32034217085367356,0.28316528047832157
2023-07-24,entropy_based,0.25,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,58.0,0.061899679829242264,0.09709315248651984,0.9029068475134802,,0.0,1,0.14285714285714285,0.20307973776490315,0.32034217085367356,0.28316528047832157
2023-07-25,random,,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,276.0,0.4169184290030212,0.1336759645983645,0.8663240354016355,276.0,,2,0.4,,,
2023-07-25,random,,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,32.0,0.04833836858006042,0.2691890624988442,0.7308109375011558,32.0,,1,0.2,,,
2023-07-25,random,,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,332.0,0.5015105740181269,0.3447623148408425,0.6552376851591575,332.0,,1,0.2,,,
2023-07-25,random,,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,22.0,0.03323262839879154,0.255406805536193,0.744593194463807,22.0,,1,0.2,,,
2023-07-25,equal,,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,276.0,0.4169184290030212,0.1336759645983645,0.8663240354016355,276.0,,2,0.4,,,
2023-07-25,equal,,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,32.0,0.04833836858006042,0.2691890624988442,0.7308109375011558,32.0,,1,0.2,,,
2023-07-25,equal,,Z03,right,RC-08|RC-09|RC-10|RC-11|RC-12,332.0,0.5015105740181269,0.3447623148408425,0.6552376851591575,332.0,,1,0.2,,,
2023-07-25,equal,,Z04,right,RC-13|RC-14|RC-15|RC-16|RC-17,22.0,0.03323262839879154,0.255406805536193,0.744593194463807,22.0,,1,0.2,,,
2023-07-25,volume_proportional,,Z01,left,LC-08|LC-09|LC-10|LC-11|LC-12,276.0,0.4169184290030212,0.1336759645983645,0.8663240354016355,276.0,,1,0.2,,,
2023-07-25,volume_proportional,,Z02,left,LC-13|LC-14|LC-15|LC-16|LC-17,32.0,0.04833836858006042,0.2691890624988442,0.7308109375011558,32.0,,1,0.2,,,
