selected_date,zone_id,workload,workload_share,baseline_dominant_zone_workers,baseline_distinct_operators_touching_zone,random_workers,equal_workers,volume_proportional_workers,entropy_based_workers,entropy_weight
2023-08-31,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-31,Z02,758.0,0.4890322580645161,3,4,2,2,2,2,0.05
2023-08-31,Z03,744.0,0.48,2,5,1,2,2,2,0.05
2023-08-31,Z04,48.0,0.03096774193548387,0,2,2,1,1,1,0.05
2023-09-01,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-01,Z02,594.0,0.5934065934065934,5,5,2,2,3,3,0.05
2023-09-01,Z03,239.0,0.23876123876123875,0,5,1,2,1,1,0.05
2023-09-01,Z04,168.0,0.16783216783216784,0,5,2,1,1,1,0.05
2023-09-05,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-05,Z02,576.0,0.4400305576776165,3,5,3,2,3,2,0.05
2023-09-05,Z03,349.0,0.2666157372039725,1,5,1,2,1,2,0.05
2023-09-05,Z04,384.0,0.293353705118411,2,4,2,2,2,2,0.05
2023-09-07,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-07,Z02,326.0,0.45594405594405596,4,5,3,2,3,3,0.05
2023-09-07,Z03,291.0,0.406993006993007,2,4,1,2,2,2,0.05
2023-09-07,Z04,98.0,0.13706293706293707,0,3,2,2,1,1,0.05
2023-09-10,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-10,Z02,25.0,0.025826446280991736,0,1,3,3,1,1,0.05
2023-09-10,Z03,700.0,0.7231404958677686,6,7,2,2,4,4,0.05
2023-09-10,Z04,243.0,0.2510330578512397,1,4,2,2,2,2,0.05
2023-09-12,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-12,Z02,997.0,0.4933201385452746,6,7,3,3,3,3,0.05
2023-09-12,Z03,759.0,0.3755566551212271,1,6,2,2,3,3,0.05
2023-09-12,Z04,265.0,0.13112320633349828,0,6,2,2,1,1,0.05
2023-09-13,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-13,Z02,431.0,0.3603678929765886,3,5,3,2,2,2,0.05
2023-09-13,Z03,503.0,0.4205685618729097,2,4,1,2,3,3,0.05
2023-09-13,Z04,262.0,0.21906354515050167,1,5,2,2,1,1,0.05
2023-09-17,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-17,Z02,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-17,Z03,575.0,0.46184738955823296,1,5,3,3,2,2,0.05
2023-09-17,Z04,670.0,0.5381526104417671,4,5,2,2,3,3,0.05
2023-09-19,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-19,Z02,1509.0,0.5718075028419856,6,7,3,3,4,4,0.05
2023-09-19,Z03,861.0,0.32625994694960214,1,7,2,2,2,2,0.05
2023-09-19,Z04,269.0,0.10193255020841228,0,6,2,2,1,1,0.05
2023-09-21,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-21,Z02,539.0,0.3106628242074928,2,6,3,2,2,2,0.05
2023-09-21,Z03,886.0,0.5106628242074928,4,5,1,2,3,3,0.05
2023-09-21,Z04,310.0,0.1786743515850144,0,4,2,2,1,1,0.05
2023-09-25,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-09-25,Z02,412.0,0.20745216515609266,0,6,3,3,1,1,0.05
2023-09-25,Z03,1356.0,0.6827794561933535,7,7,2,2,5,5,0.05
2023-09-25,Z04,218.0,0.10976837865055387,0,6,2,2,1,1,0.05
2023-10-02,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-02,Z02,1878.0,0.4302405498281787,4,7,3,3,3,3,0.05
2023-10-02,Z03,1608.0,0.36838487972508593,3,7,2,2,3,3,0.05
2023-10-02,Z04,879.0,0.2013745704467354,0,7,2,2,1,1,0.05
2023-10-05,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-05,Z02,1128.0,0.48873483535528595,4,6,3,3,3,3,0.05
2023-10-05,Z03,988.0,0.42807625649913345,3,7,2,2,3,3,0.05
2023-10-05,Z04,192.0,0.0831889081455806,0,4,2,2,1,1,0.05
2023-10-06,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-06,Z02,725.0,0.5813953488372093,5,6,3,2,3,3,0.05
2023-10-06,Z03,427.0,0.34242181234963914,1,6,1,2,2,2,0.05
2023-10-06,Z04,95.0,0.07618283881315156,0,2,2,2,1,1,0.05
2023-10-12,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-12,Z02,646.0,0.43268586738111187,3,6,3,2,3,3,0.05
2023-10-12,Z03,624.0,0.41795043536503684,2,5,1,2,2,2,0.05
2023-10-12,Z04,223.0,0.14936369725385132,1,4,2,2,1,1,0.05
2023-10-13,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-13,Z02,572.0,0.3877966101694915,4,8,3,3,3,3,0.05
2023-10-13,Z03,646.0,0.43796610169491523,3,7,2,3,4,4,0.05
2023-10-13,Z04,257.0,0.17423728813559322,1,7,3,2,1,1,0.05
2023-10-16,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-16,Z02,451.0,0.36607142857142855,2,5,2,2,2,2,0.05
2023-10-16,Z03,504.0,0.4090909090909091,3,5,1,2,2,2,0.05
2023-10-16,Z04,277.0,0.22483766233766234,0,4,2,1,1,1,0.05
2023-10-17,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-17,Z02,208.0,0.5073170731707317,4,6,3,2,3,3,0.05
2023-10-17,Z03,148.0,0.36097560975609755,2,5,1,2,2,2,0.05
2023-10-17,Z04,54.0,0.13170731707317074,0,2,2,2,1,1,0.05
2023-10-18,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-18,Z02,453.0,0.6213991769547325,4,5,3,3,3,3,0.05
2023-10-18,Z03,276.0,0.3786008230452675,1,5,2,2,2,2,0.05
2023-10-18,Z04,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-19,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-10-19,Z02,40.0,0.09259259259259259,0,2,2,2,1,1,0.05
2023-10-19,Z03,320.0,0.7407407407407407,4,4,1,1,2,2,0.05
2023-10-19,Z04,72.0,0.16666666666666666,0,1,1,1,1,1,0.05
