comparator,metric,direction,n_days,entropy_mean,comparator_mean,mean_delta_entropy_minus_comparator,mean_improvement_pct,wins,ties,losses,win_rate_excluding_ties,wilcoxon_statistic,wilcoxon_p_value_two_sided,significant_at_0_05
baseline,mean_flow_time_seconds,minimize,40,699.9097814111859,794.8151017834584,-94.90532037227257,13.24553102498818,32,0,8,0.8,129.0,7.198017374321353e-05,True
random,mean_flow_time_seconds,minimize,40,699.9097814111859,762.6373813816107,-62.72759997042479,6.577349887967312,20,14,6,0.7692307692307693,64.0,0.004627601280950025,True
equal,mean_flow_time_seconds,minimize,40,699.9097814111859,858.6247115567365,-158.7149301455506,16.164188144251238,31,6,3,0.9117647058823529,18.0,1.7662886099631396e-06,True
volume_proportional,mean_flow_time_seconds,minimize,40,699.9097814111859,680.6074166286159,19.30236478257007,-2.1616313425767517,1,32,7,0.125,1.0,0.017290280592906253,True
