method,n_days,total_distance_m,congestion_conflicts,congestion_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,mean_spatial_entropy_multiworker,mean_spatial_entropy_normalized
baseline,40,4635.43015000002,103.375,180.9731708333265,0.05042335956626816,660.065566848228,794.8151017834584,6994.581995833338,0.9836369942720102,0.7778326427199312
random,40,4635.430149999979,138.975,304.6008291666655,0.07326597070192284,625.8259389339171,762.6373813816106,6854.754491666664,0.9728901569430282,0.8430684791946597
equal,40,4635.430149999988,116.05,244.5967208333425,0.06299929284250542,722.5999246955996,858.6247115567364,7138.191383333333,0.9750778813328278,0.8007853104100825
volume_proportional,40,4635.430150000012,155.475,345.3414208333364,0.08483971413529814,542.996632850021,680.6074166286159,6510.650037500005,0.9657357934103328,0.849216137862259
entropy_based,40,4635.430150000012,155.475,345.3414208333364,0.08483971413529814,542.996632850021,680.6074166286159,6510.650037500005,0.9657357934103328,0.849216137862259
