codCustomer;orderNumber;orderToCollect;Reference;Size (US);quantity (units);creationDate;waveNumber;operator
C0000574            ;124419;7;TNAHD4;105;2;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;6;TNAHD4;10;2;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;5;TNAHD4;95;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;4;TNAHD4;9;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;3;TNAHD4;85;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;2;TNAHD4;8;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;1;TNAHD4;7;1;19/10/2023 07:16;43169;Operator_3
C0000568            ;124418;1;RUUOCB;105;1;19/10/2023 07:16;43169;Operator_3
C0000559            ;124417;1;O7AXAK;12;1;19/10/2023 07:16;43169;Operator_3
C0000559            ;124416;1;05W6TK;9;6;19/10/2023 07:16;43168;Operator_3
C0000559            ;124415;1;05W6TK;10;1;19/10/2023 07:16;43168;Operator_3
C0000494            ;124414;1;8N10W9;8;2;19/10/2023 07:16;43168;Operator_3
C0000467            ;124413;1;YE890X;12;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;12;2OAVPY;11;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;11;SMMRK3;10;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;10;SMMRK3;9;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;9;8N10W9;13;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;8;8N10W9;8;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;7;NM6C73;13;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;6;LXJQVG;7;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;5;WRRW1W;11;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;4;WRRW1W;10;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;3;JEGRCL;13;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;2;JEGRCL;10;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;1;JEGRCL;8;1;19/10/2023 07:16;43168;Operator_3
C0000414            ;124411;2;E5CISL;10;1;19/10/2023 07:16;43168;Operator_3
C0000414            ;124411;1;E5CISL;9;1;19/10/2023 07:16;43168;Operator_3
C0000386            ;124410;1;O9YFO8;12;1;19/10/2023 07:16;43167;Operator_1
C0000341            ;124409;2;CU53FM;12;1;19/10/2023 07:16;43167;Operator_1
C0000341            ;124409;1;CU53FM;10;1;19/10/2023 07:16;43167;Operator_1
C0000338            ;124408;1;5HQR89;9;1;19/10/2023 07:16;43167;Operator_1
C0000322            ;124407;5;56TC1Z;12;1;19/10/2023 07:16;43167;Operator_1
C0000322            ;124407;4;56TC1Z;11;1;19/10/2023 07:16;43167;Operator_1
C0000322            ;124407;3;56TC1Z;105;2;19/10/2023 07:16;43167;Operator_1
C0000322            ;124407;2;56TC1Z;95;1;19/10/2023 07:16;43167;Operator_1
C0000322            ;124407;1;56TC1Z;9;1;19/10/2023 07:16;43167;Operator_1
C0000317            ;124406;1;2T1DJM;9;1;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;7;U95NWB;105;1;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;6;U95NWB;95;1;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;5;U95NWB;9;1;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;4;U95NWB;75;2;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;3;32ZKOX;9;1;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;2;O7TSVL;95;1;19/10/2023 07:16;43167;Operator_1
C0000299            ;124405;1;O7TSVL;9;1;19/10/2023 07:16;43167;Operator_1
C0000237            ;124404;1;37VA62;12;1;19/10/2023 07:16;43167;Operator_1
C0000235            ;124403;1;QTMT7N;85;1;19/10/2023 07:16;43167;Operator_1
C0000114            ;124402;1;6M2FJM;8;1;19/10/2023 07:16;43167;Operator_1
C0000111            ;124401;38;SMMRK3;12;2;19/10/2023 07:16;43167;Operator_1
C0000111            ;124401;39;XUZJ74;105;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;37;SMMRK3;105;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;36;SMMRK3;10;2;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;35;SMMRK3;95;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;34;SMMRK3;8;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;33;9KHDG3;12;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;32;9KHDG3;11;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;30;TBCCF7;12;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;29;TBCCF7;105;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;22;AKP0A7;12;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;21;AKP0A7;11;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;20;AKP0A7;105;3;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;16;WGHG3L;13;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;15;WGHG3L;12;2;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;14;WGHG3L;11;3;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;11;I1KDJ0;11;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;10;I1KDJ0;105;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;7;WRRW1W;105;1;19/10/2023 07:16;43166;Operator_2
C0000111            ;124401;31;RAUDQ6;95;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;28;J3FI7N;95;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;27;J3FI7N;9;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;26;CD1NU9;10;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;25;CD1NU9;95;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;24;CD1NU9;9;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;23;1ENECA;10;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;19;AKP0A7;10;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;18;AKP0A7;95;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;17;AKP0A7;75;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;13;WGHG3L;10;3;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;12;WGHG3L;9;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;9;I1KDJ0;10;2;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;8;I1KDJ0;9;2;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;6;F73ZE1;85;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;5;F73ZE1;75;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;3;X31OGS;10;2;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;2;05W6TK;8;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;1;05W6TK;75;1;19/10/2023 07:16;43165;Operator_1
C0000111            ;124401;4;F29V5I;75;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;19;RAUDQ6;12;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;18;RAUDQ6;105;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;17;TBCCF7;95;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;16;J3FI7N;12;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;15;J3FI7N;105;2;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;14;J3FI7N;10;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;11;1ENECA;12;2;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;10;1ENECA;11;6;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;7;AKP0A7;11;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;6;AKP0A7;105;3;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;5;AKP0A7;10;2;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;3;WRRW1W;105;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;2;WRRW1W;10;1;19/10/2023 07:16;43164;Operator_1
C0000111            ;124400;13;J3FI7N;95;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124400;12;KTDZY0;95;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124400;9;1ENECA;95;4;19/10/2023 07:16;43163;Operator_3
C0000111            ;124400;8;1ENECA;85;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124400;4;AKP0A7;95;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124400;1;WRRW1W;9;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;23;RAUDQ6;105;2;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;22;RAUDQ6;10;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;21;RAUDQ6;95;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;19;TBCCF7;13;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;18;TBCCF7;105;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;17;TBCCF7;95;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;16;J3FI7N;12;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;15;J3FI7N;11;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;14;J3FI7N;105;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;13;J3FI7N;10;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;11;1ENECA;12;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;8;AKP0A7;11;2;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;5;Q50W5L;95;1;19/10/2023 07:16;43163;Operator_3
C0000111            ;124399;20;RAUDQ6;9;1;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;12;J3FI7N;9;2;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;10;1ENECA;8;1;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;9;1ENECA;7;1;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;7;AKP0A7;85;1;19/10/2023 07:16;43162;Operator_2
C0000111            ;124399;6;AKP0A7;8;1;19/10/2023 07:16;43162;Operator_2
