node_id,x_m,y_m,location_count,pick_tasks,pick_units,task_share,unit_share
AISLE:x=1.360000:y=9.310000,1.36,9.31,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=1.520000:y=-0.290000,1.52,-0.29,4,0,0.0,0.0,0.0
AISLE:x=1.520000:y=0.610000,1.52,0.61,8,0,0.0,0.0,0.0
AISLE:x=1.520000:y=1.510000,1.52,1.51,8,0,0.0,0.0,0.0
AISLE:x=1.520000:y=10.210000,1.52,10.21,8,12,12.0,0.006012024048096192,0.006012024048096192
AISLE:x=1.520000:y=11.110000,1.52,11.11,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=1.520000:y=12.010000,1.52,12.01,8,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=1.520000:y=12.910000,1.52,12.91,8,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=1.520000:y=13.810000,1.52,13.81,8,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=1.520000:y=14.710000,1.52,14.71,4,0,0.0,0.0,0.0
AISLE:x=1.520000:y=2.410000,1.52,2.41,8,0,0.0,0.0,0.0
AISLE:x=1.520000:y=3.310000,1.52,3.31,8,0,0.0,0.0,0.0
AISLE:x=1.520000:y=4.210000,1.52,4.21,8,0,0.0,0.0,0.0
AISLE:x=1.520000:y=5.110000,1.52,5.11,8,0,0.0,0.0,0.0
AISLE:x=1.520000:y=6.310000,1.52,6.31,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=1.520000:y=7.510000,1.52,7.51,8,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=1.520000:y=8.410000,1.52,8.41,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=1.520000:y=9.310000,1.52,9.31,8,11,11.0,0.005511022044088177,0.005511022044088177
AISLE:x=1.680000:y=-0.290000,1.68,-0.29,2,0,0.0,0.0,0.0
AISLE:x=1.680000:y=0.610000,1.68,0.61,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=1.510000,1.68,1.51,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=10.210000,1.68,10.21,4,22,22.0,0.011022044088176353,0.011022044088176353
AISLE:x=1.680000:y=11.110000,1.68,11.11,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=1.680000:y=12.010000,1.68,12.01,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=1.680000:y=12.910000,1.68,12.91,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=13.810000,1.68,13.81,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=1.680000:y=14.710000,1.68,14.71,2,0,0.0,0.0,0.0
AISLE:x=1.680000:y=2.410000,1.68,2.41,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=3.310000,1.68,3.31,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=4.210000,1.68,4.21,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=5.110000,1.68,5.11,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=6.310000,1.68,6.31,4,8,8.0,0.004008016032064128,0.004008016032064128
AISLE:x=1.680000:y=7.510000,1.68,7.51,4,0,0.0,0.0,0.0
AISLE:x=1.680000:y=8.410000,1.68,8.41,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=1.680000:y=9.310000,1.68,9.31,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=1.860000:y=-0.290000,1.86,-0.29,2,0,0.0,0.0,0.0
AISLE:x=1.860000:y=0.610000,1.86,0.61,4,0,0.0,0.0,0.0
AISLE:x=1.860000:y=1.510000,1.86,1.51,4,0,0.0,0.0,0.0
AISLE:x=1.860000:y=10.210000,1.86,10.21,4,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=1.860000:y=11.110000,1.86,11.11,4,16,16.0,0.008016032064128256,0.008016032064128256
AISLE:x=1.860000:y=12.010000,1.86,12.01,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=1.860000:y=12.910000,1.86,12.91,4,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=1.860000:y=13.810000,1.86,13.81,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=1.860000:y=14.710000,1.86,14.71,2,0,0.0,0.0,0.0
AISLE:x=1.860000:y=2.410000,1.86,2.41,4,0,0.0,0.0,0.0
AISLE:x=1.860000:y=3.310000,1.86,3.31,4,0,0.0,0.0,0.0
AISLE:x=1.860000:y=4.210000,1.86,4.21,4,0,0.0,0.0,0.0
AISLE:x=1.860000:y=5.110000,1.86,5.11,4,0,0.0,0.0,0.0
AISLE:x=1.860000:y=6.310000,1.86,6.31,4,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=1.860000:y=7.510000,1.86,7.51,4,6,6.0,0.003006012024048096,0.003006012024048096
AISLE:x=1.860000:y=8.410000,1.86,8.41,4,10,10.0,0.00501002004008016,0.00501002004008016
AISLE:x=1.860000:y=9.310000,1.86,9.31,4,10,10.0,0.00501002004008016,0.00501002004008016
AISLE:x=2.020000:y=-0.290000,2.02,-0.29,4,0,0.0,0.0,0.0
AISLE:x=2.020000:y=0.610000,2.02,0.61,8,0,0.0,0.0,0.0
AISLE:x=2.020000:y=1.510000,2.02,1.51,8,0,0.0,0.0,0.0
AISLE:x=2.020000:y=10.210000,2.02,10.21,8,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=2.020000:y=11.110000,2.02,11.11,8,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=2.020000:y=12.010000,2.02,12.01,8,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=2.020000:y=12.910000,2.02,12.91,8,19,19.0,0.009519038076152305,0.009519038076152305
AISLE:x=2.020000:y=13.810000,2.02,13.81,8,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=2.020000:y=14.710000,2.02,14.71,4,0,0.0,0.0,0.0
AISLE:x=2.020000:y=2.410000,2.02,2.41,8,0,0.0,0.0,0.0
AISLE:x=2.020000:y=3.310000,2.02,3.31,8,0,0.0,0.0,0.0
AISLE:x=2.020000:y=4.210000,2.02,4.21,8,0,0.0,0.0,0.0
AISLE:x=2.020000:y=5.110000,2.02,5.11,8,0,0.0,0.0,0.0
AISLE:x=2.020000:y=6.310000,2.02,6.31,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=2.020000:y=7.510000,2.02,7.51,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=2.020000:y=8.410000,2.02,8.41,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=2.020000:y=9.310000,2.02,9.31,8,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=2.180000:y=-0.290000,2.18,-0.29,2,0,0.0,0.0,0.0
