resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
edge,AISLE:x=10.236200:y=19.075400<->AISLE:x=9.347200:y=19.075400,1,1,0.08883333333506016,0.08883333333506016,0.08883333333506016
edge,AISLE:x=10.236200:y=23.647400<->AISLE:x=9.347200:y=23.647400,1,1,0.1723333333247865,0.1723333333247865,0.1723333333247865
edge,AISLE:x=10.236200:y=25.933400<->AISLE:x=9.347200:y=25.933400,2,2,1.405666666666292,0.702833333333146,0.7283333333332109
edge,AISLE:x=10.236200:y=28.219400<->AISLE:x=9.347200:y=28.219400,2,2,0.7676666666660168,0.3838333333330084,0.46716666666600304
edge,AISLE:x=10.236200:y=32.791400<->AISLE:x=9.347200:y=32.791400,3,1,1.0273333333252594,0.34244444444175315,0.5076666666755045
edge,AISLE:x=11.023600:y=16.027400<->SUP:CC-08,2,2,1.9684999999999997,0.9842499999999998,1.3123333333333331
edge,AISLE:x=11.023600:y=28.219400<->AISLE:x=11.430000:y=28.219400,1,1,0.15533333333333132,0.15533333333333132,0.15533333333333132
edge,AISLE:x=11.023600:y=28.219400<->SUP:CC-13,5,4,2.864333333324339,0.5728666666648679,0.9313333333333276
edge,AISLE:x=11.023600:y=32.791400<->SUP:CC-15,1,1,0.3598333333393384,0.3598333333393384,0.3598333333393384
edge,AISLE:x=11.023600:y=35.077400<->SUP:CC-16,1,1,0.10583333333329392,0.10583333333329392,0.10583333333329392
edge,AISLE:x=11.430000:y=28.219400<->AISLE:x=11.836400:y=28.219400,1,1,0.3076666666665915,0.3076666666665915,0.3076666666665915
edge,AISLE:x=11.836400:y=28.219400<->AISLE:x=12.293600:y=28.219400,2,2,0.08466666666663514,0.04233333333331757,0.04233333333331757
edge,AISLE:x=12.293600:y=28.219400<->AISLE:x=12.700000:y=28.219400,2,2,0.43466666666245146,0.21733333333122573,0.2653333333291812
edge,AISLE:x=12.700000:y=28.219400<->AISLE:x=13.106400:y=28.219400,2,2,0.18633333333320934,0.09316666666660467,0.18066666666663878
edge,AISLE:x=13.106400:y=28.219400<->AISLE:x=13.563600:y=28.219400,1,1,0.3330000000000837,0.3330000000000837,0.3330000000000837
edge,AISLE:x=13.563600:y=28.219400<->AISLE:x=13.970000:y=28.219400,1,1,0.10166666666668789,0.10166666666668789,0.10166666666668789
edge,AISLE:x=15.240000:y=28.219400<->AISLE:x=15.646400:y=28.219400,1,1,0.11866666666605852,0.11866666666605852,0.11866666666605852
edge,AISLE:x=15.646400:y=19.075400<->AISLE:x=16.103600:y=19.075400,1,1,0.08733333336203941,0.08733333336203941,0.08733333336203941
edge,AISLE:x=15.646400:y=28.219400<->AISLE:x=16.103600:y=28.219400,1,1,0.10433333333349992,0.10433333333349992,0.10433333333349992
edge,AISLE:x=16.916400:y=28.219400<->SUP:RC-13,1,1,0.25966666667954996,0.25966666667954996,0.25966666667954996
edge,AISLE:x=2.997200:y=23.647400<->AISLE:x=3.454400:y=23.647400,1,1,0.04533333336621581,0.04533333336621581,0.04533333336621581
edge,AISLE:x=7.670800:y=32.791400<->AISLE:x=8.077200:y=32.791400,1,1,0.17650000000006116,0.17650000000006116,0.17650000000006116
edge,AISLE:x=8.534400:y=23.647400<->AISLE:x=8.940800:y=23.647400,1,1,0.1043333333091141,0.1043333333091141,0.1043333333091141
edge,AISLE:x=8.534400:y=25.933400<->AISLE:x=8.940800:y=25.933400,1,1,0.1413333333475748,0.1413333333475748,0.1413333333475748
edge,AISLE:x=8.534400:y=32.791400<->AISLE:x=8.940800:y=32.791400,1,1,0.033666666666647416,0.033666666666647416,0.033666666666647416
edge,AISLE:x=8.940800:y=35.077400<->AISLE:x=9.347200:y=35.077400,1,1,0.12100000002828892,0.12100000002828892,0.12100000002828892
edge,SUP:CC-08<->SUP:CC-09,33,8,98.28133333336936,2.978222222223314,10.160000000003492
edge,SUP:CC-09<->SUP:CC-10,16,7,12.503500000101951,0.781468750006372,1.8853333333463524
edge,SUP:CC-10<->SUP:CC-11,10,6,7.161499999965969,0.7161499999965969,1.8316666666661376
edge,SUP:CC-11<->SUP:CC-12,10,5,11.250000000083475,1.1250000000083475,1.9049999999999727
edge,SUP:CC-12<->SUP:CC-13,9,4,12.775333333340171,1.4194814814822412,3.569666666667615
edge,SUP:CC-13<->SUP:CC-14,17,7,24.589999999998525,1.4464705882352074,2.9156666666661977
edge,SUP:CC-14<->SUP:CC-15,9,5,11.13550000001689,1.2372777777796544,2.199833333337665
edge,SUP:CC-15<->SUP:CC-16,4,3,2.966000000000804,0.741500000000201,1.248833333333323
edge,SUP:LC-10<->SUP:LC-11,1,1,1.2220000000015716,1.2220000000015716,1.2220000000015716
edge,SUP:LC-12<->SUP:LC-13,2,2,1.1146666666666363,0.5573333333333181,0.9509999999999934
pick_node,AISLE:x=11.023600:y=30.505400,1,1,0.18633333333855262,0.18633333333855262,0.18633333333855262
