operator,distance_m,picked_units,movement_events,pick_events,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds
Operator_02,1019.919999999968,477.0,3018,477,38,23,15,46.750000000013685
Operator_04,170.86000000000013,72.0,498,72,14,10,4,8.53333333333314
Operator_06,227.76000000000028,120.0,538,120,18,12,6,14.866666666665765
Operator_08,140.70000000000007,71.0,368,71,7,6,1,3.450000000000429
Operator_14,782.419999999987,367.0,2228,367,33,26,7,31.533333333329537
Operator_17,425.8400000000061,210.0,1340,210,23,17,6,22.450000000015905
Operator_18,595.5000000000007,283.0,1878,283,15,9,6,20.66666666670079
Operator_19,929.5199999999705,396.0,2834,396,26,20,6,27.56666666668687
